,in and outs,date,raw data
0,0b100000100000000,260726000041,0x252513005918E40869487060207049003C38402D000000294E0000000700644100000000000000FFFFFFFFFFFF00D5001CE4A50026072600004100003C42032693C22A421841061000A203912682FFFFFF0000210000FFFFFF
1,0b100000100000000,260726000142,0x252513005918E50869487060207049003C38402D000000304E0000000700644100000000000000FFFFFFFFFFFF00D5001CE8E100260726000142CDCC34429E2493C2D61B1841065000A303912747FFFFFF0000210000FFFFFF
2,0b100000100000000,260726000242,0x252513005918E60869487060207049003C38402D000000414C0000000700644100000000000000FFFFFFFFFFFF00D5001CED0D0026072600024266663E423C2393C211F61741063000A203912747FFFFFF0000210000FFFFFF
3,0b100000100000000,260726000342,0x252513005918E70869487060207049003C38402D000000334D0000000700644100000000000000FFFFFFFFFFFF00D5001CF0730026072600034200003C421E2293C24AD717410230009D03912757FFFFFF0000220000FFFFFF
4,0b100000100000000,260726000442,0x252513005918E80869487060207049003C38402D0000004B4D0000000700644100000000000000FFFFFFFFFFFF00D5001CF2920026072600044266664242572193C265C41741048000A403912753FFFFFF0000220000FFFFFF
5,0b100000100000000,260726000542,0x252513005918E90869487060207049003C38402D0000004F4D0000000700644100000000000000FFFFFFFFFFFF00D5001CF5F10026072600054266663C42382093C2E5A51741045000A403912756FFFFFF0000220000FFFFFF
6,0b100000100000000,260726000641,0x252513005918EA0869487060207049003C38402D000000594E0000000700644100000000000000FFFFFFFFFFFF00D5001CF9250026072600064100004A42391F93C2D2881741041000AB03912758FFFFFF0000220000FFFFFF
7,0b100000100000000,260726000742,0x252513005918EB0869487060207049003C38402D000000644E0000000700644100000000000000FFFFFFFFFFFF00D5001CFB8400260726000742CDCC4E42711E93C25A731741035000A503912759FFFFFF0000220000FFFFFF
8,0b100000100000000,260726000842,0x252513005918EC0869487060207049003C38402D000000484D0000000700644100000000000000FFFFFFFFFFFF00D5001CFE9B0026072600084200005A42691D93C26A571741050000A303912757FFFFFF0000220000FFFFFF
9,0b100000100000000,260726000942,0x252513005918ED0869487060207049003C38402D000000304E0000000700644100000000000000FFFFFFFFFFFF00D5001D01C800260726000942000056425D1C93C2A43A1741049000A403912749FFFFFF0000230000FFFFFF
10,0b100000100000000,260726001042,0x252513005918EE0869487060207049003C38402D0000004B4E0000000700644100000000000000FFFFFFFFFFFF00D5001D05590026072600104200004242421B93C2421A1741054000AF03912757FFFFFF0000230000FFFFFF
11,0b100000100000000,260726001142,0x252513005918EF0869487060207049003C38402D0000003E4F0000000700644100000000000000FFFFFFFFFFFF00D5001D08FA0026072600114233333D42CD1A93C2C0F816410570009D03912755FFFFFF0000230000FFFFFF
