Created,Message,Status
2026-03-20 13:55:18.001,"11000001,5,4764428680,1,1,1,10,1,2,0,0,0,0,00001111,00000001,ON,1101001,6,3,104264690,243,0x00000000,0,0|",0x830547644286800101010A0001000000020000000000000000000000F0809706030636F3F2000000F300000000
2026-03-20 13:55:18.478,"11000001,5,4764428680,1,1,1,10,2,7,0,0,0,0,00001111,00000001,ON,1101001,1,3,104264690,11096,0x00000000,0,0|",0x830547644286800101010A0002000000070000000000000000000000F0809701030636F3F200002B5800000000
2026-03-20 13:57:43.890,"11000001,5,4764428680,1,1,1,10,3,1774015050,-12.097773,-77.0206523,14,1,00100000,11110000,ON,1101000,4,3,104264690,11400,0x00000000,0,0|",0x830547644286800101010A000369BD524AF8CA06BED21794C5000E01040F1704030636F3F200002C8800000000
2026-03-20 13:59:43.811,"11000001,5,4764428680,1,1,1,10,4,1774015170,-12.0977371,-77.0206333,45,0,00100000,11110000,ON,1101000,45,3,104264690,11339,0x00000000,0,0|",0x830547644286800101010A000469BD52C2F8CA0825D2179583002D00040F172D030636F3F200002C4B00000000
2026-03-20 14:07:44.502,"11000001,5,4764428680,1,1,1,10,1,1774015618,0,0,0,0,00000111,00000001,ON,1101000,6,3,104264690,11369,0x00000000,0,0|",0x830547644286800101010A000169BD54820000000000000000000000E0801706030636F3F200002C6900000000
2026-03-20 14:07:44.965,"11000001,5,4764428680,1,1,1,10,2,1774015623,0,0,0,0,00000111,00000001,ON,1101000,1,3,104264690,11491,0x00000000,0,0|",0x830547644286800101010A000269BD54870000000000000000000000E0801701030636F3F200002CE300000000
2026-03-20 14:10:02.146,"11000001,5,4764428680,1,1,1,10,3,1774015809,-12.0978311,-77.020668,0,0,00100000,11110000,ON,1101000,4,8,104264723,11430,0x000000000000000000000000000000000000000000000000|",0x830547644286800101010A000369BD5541F8CA0479D2179428000000040F1704080636F41300002CA6000000000000000000000000000000000000000000000000
2026-03-20 14:12:02.171,"11000001,5,4764428680,1,1,1,10,4,1774015929,-12.0977876,-77.020661,0,0,00100000,11110000,ON,1101000,45,8,104264723,11400,0x000000000000000000000000000000000000000000000000|",0x830547644286800101010A000469BD55B9F8CA062CD217946E000000040F172D080636F41300002C88000000000000000000000000000000000000000000000000
2026-03-20 15:58:39.103,"11000001,5,4764428680,1,1,1,10,5,1774022326,-12.097815,-77.020728,290,1,00100000,11110000,OFF,1101110,2,8,104264741,212,0x000000000000000000000000000000000000000000000000|",0x830547644286800101010A000569BD6EB6F8CA051AD21791D0012201040F7602080636F425000000D4000000000000000000000000000000000000000000000000
2026-03-20 16:02:44.196,"11000001,5,4764428680,1,1,1,10,6,1774022590,-12.0962308,-77.0205871,337,48,01010000,11110000,OFF,1101110,8,8,104264741,0|",0x830547644286800101010A000669BD6FBEF8CA42FCD21797510151300A0F7608080636F42500000000000000000000000000000000000000000000000000000000
2026-03-20 16:03:39.685,"11000001,5,4764428680,1,1,1,10,7,1774022646,-12.0920823,-77.0222161,23,32,10010000,11110000,OFF,1101110,3,8,104264741,0|",0x830547644286800101010A000769BD6FF6F8CAE509D21757AF001720090F7603080636F42500000000000000000000000000000000000000000000000000000000
2026-03-20 16:04:00.341,"11000001,5,4764428680,1,1,1,10,8,1774022666,-12.0908251,-77.021274,69,32,01010000,11110000,OFF,1101110,3,8,104264741,0|",0x830547644286800101010A000869BD700AF8CB1625D2177C7C0045200A0F7603080636F42500000000000000000000000000000000000000000000000000000000
2026-03-20 16:05:21.540,"11000001,5,4764428680,1,1,1,10,9,1774022748,-12.0897503,-77.0138503,115,27,11010000,11110000,OFF,1101110,3,8,104264741,0|",0x830547644286800101010A000969BD705CF8CB4021D2189E7900731B0B0F7603080636F42500000000000000000000000000000000000000000000000000000000
2026-03-20 16:05:23.560,"11000001,5,4764428680,1,1,1,10,10,1774022750,-12.0899008,-77.0137318,164,29,10010000,11110000,OFF,1101110,3,8,104264741,0|",0x830547644286800101010A000A69BD705EF8CB3A40D218A31A00A41D090F7603080636F42500000000000000000000000000000000000000000000000000000000
