,Date,external_power
0,"Date:""2026-05-16T18:44:27Z""",0.78
1,"Date:""2026-05-16T18:44:33Z""",1.15
2,"Date:""2026-05-16T18:45:28Z""",0.85
3,"Date:""2026-05-16T18:46:35Z""",0.98
4,"Date:""2026-05-16T18:46:35Z""",0.98
5,"Date:""2026-05-16T18:48:42Z""",1.08
6,"Date:""2026-05-16T19:02:02Z""",0.26
7,"Date:""2026-05-16T19:02:37Z""",0.37
8,"Date:""2026-05-16T19:43:30Z""",0.3
9,"Date:""2026-05-16T19:43:43Z""",0.29
10,"Date:""2026-05-16T19:44:19Z""",0.3
11,"Date:""2026-05-16T19:44:50Z""",0.29
12,"Date:""2026-05-16T19:48:43Z""",0.28
13,"Date:""2026-05-16T19:50:04Z""",1.51
14,"Date:""2026-05-17T21:41:58Z""",0.5
15,"Date:""2026-05-17T21:42:09Z""",0.58
16,"Date:""2026-05-17T22:06:41Z""",1.05
17,"Date:""2026-05-17T22:07:01Z""",0.43
18,"Date:""2026-05-17T22:12:08Z""",0.7
19,"Date:""2026-05-17T22:23:54Z""",0.43
20,"Date:""2026-05-17T22:27:44Z""",0.29
21,"Date:""2026-05-17T22:28:16Z""",0.4
22,"Date:""2026-05-17T22:34:11Z""",0.4
23,"Date:""2026-05-17T22:36:09Z""",0.29
24,"Date:""2026-05-17T22:37:58Z""",0.31
25,"Date:""2026-05-17T22:39:30Z""",0.42
26,"Date:""2026-05-17T22:40:17Z""",0.4
27,"Date:""2026-05-17T22:41:13Z""",0.43
28,"Date:""2026-05-17T22:47:25Z""",0.38
29,"Date:""2026-05-17T22:47:32Z""",0.46
30,"Date:""2026-05-17T22:50:35Z""",0.34
31,"Date:""2026-05-17T22:52:01Z""",0.37
32,"Date:""2026-05-17T22:52:31Z""",0.46
33,"Date:""2026-05-17T22:52:38Z""",0.45
34,"Date:""2026-05-17T22:52:48Z""",0.41
35,"Date:""2026-05-17T22:52:51Z""",0.43
36,"Date:""2026-05-17T22:55:18Z""",0.34
37,"Date:""2026-05-17T22:55:46Z""",0.35
38,"Date:""2026-05-17T22:55:54Z""",0.39
39,"Date:""2026-05-17T23:06:36Z""",0.48
40,"Date:""2026-05-17T23:07:11Z""",0.37
41,"Date:""2026-05-17T23:07:15Z""",0.43
42,"Date:""2026-05-17T23:07:21Z""",0.44
43,"Date:""2026-05-17T23:09:51Z""",0.3
44,"Date:""2026-05-17T23:10:45Z""",0.45
45,"Date:""2026-05-17T23:10:57Z""",0.4
46,"Date:""2026-05-17T23:12:38Z""",0.29
47,"Date:""2026-05-17T23:12:57Z""",0.48
48,"Date:""2026-05-17T23:13:12Z""",0.45
49,"Date:""2026-05-17T23:16:34Z""",0.69
50,"Date:""2026-05-17T23:18:17Z""",0.69
51,"Date:""2026-05-17T23:28:52Z""",0.69
52,"Date:""2026-05-18T00:49:27Z""",0.73
53,"Date:""2026-05-18T00:50:01Z""",0.7
54,"Date:""2026-05-18T19:39:08Z""",0.4
55,"Date:""2026-05-18T19:39:50Z""",0.3
56,"Date:""2026-05-18T19:42:42Z""",0.47
57,"Date:""2026-05-18T22:50:30Z""",0.26
58,"Date:""2026-05-18T22:58:44Z""",0.75
59,"Date:""2026-05-18T22:59:22Z""",0.96
60,"Date:""2026-05-18T23:01:12Z""",0.95
61,"Date:""2026-05-18T23:05:14Z""",0.78
62,"Date:""2026-05-18T23:05:54Z""",0.77
63,"Date:""2026-05-18T23:06:25Z""",0.76
64,"Date:""2026-05-18T23:12:58Z""",0.73
65,"Date:""2026-05-18T23:14:08Z""",0.72
66,"Date:""2026-05-18T23:17:07Z""",0.73
67,"Date:""2026-05-18T23:17:14Z""",0.77
68,"Date:""2026-05-18T23:18:29Z""",0.74
69,"Date:""2026-05-18T23:29:44Z""",0.78
70,"Date:""2026-05-18T23:29:44Z""",0.78
71,"Date:""2026-05-18T23:33:15Z""",0.78
72,"Date:""2026-05-18T23:33:15Z""",0.78
73,"Date:""2026-05-18T23:33:18Z""",0.78
74,"Date:""2026-05-18T23:55:05Z""",0.81
75,"Date:""2026-05-19T00:07:06Z""",0.78
76,"Date:""2026-05-19T00:50:44Z""",1.16
77,"Date:""2026-05-19T00:50:54Z""",0.88
78,"Date:""2026-05-19T00:51:02Z""",0.88
79,"Date:""2026-05-19T01:23:48Z""",1.25
80,"Date:""2026-05-19T01:23:58Z""",1.18
81,"Date:""2026-05-19T01:23:58Z""",1.18
82,"Date:""2026-05-19T01:23:58Z""",1.18
83,"Date:""2026-05-19T01:25:45Z""",1.31
84,"Date:""2026-05-19T01:25:45Z""",1.31
85,"Date:""2026-05-19T01:25:45Z""",1.31
86,"Date:""2026-05-19T01:28:39Z""",1.1
87,"Date:""2026-05-19T01:29:08Z""",1.12
88,"Date:""2026-05-19T01:36:10Z""",0.75
89,"Date:""2026-05-19T01:36:36Z""",0.78
90,"Date:""2026-05-19T01:36:58Z""",0.73
91,"Date:""2026-05-19T01:37:23Z""",0.76
92,"Date:""2026-05-19T01:40:08Z""",0.78
93,"Date:""2026-05-19T22:44:09Z""",3.91
94,"Date:""2026-05-19T22:53:28Z""",0.26
95,"Date:""2026-05-19T23:02:06Z""",0.26
96,"Date:""2026-05-19T23:07:00Z""",0.26
97,"Date:""2026-05-19T23:32:58Z""",0.43
98,"Date:""2026-05-19T23:48:52Z""",0.4
99,"Date:""2026-05-20T00:08:15Z""",0.45
100,"Date:""2026-05-20T00:14:42Z""",0.28
101,"Date:""2026-05-20T00:28:40Z""",0.72
102,"Date:""2026-05-20T00:28:48Z""",0.77
103,"Date:""2026-05-20T00:38:50Z""",0.74
104,"Date:""2026-05-20T00:44:11Z""",0.73
105,"Date:""2026-05-20T00:44:11Z""",0.73
106,"Date:""2026-05-20T00:46:01Z""",0.73
107,"Date:""2026-05-20T00:46:01Z""",0.73
108,"Date:""2026-05-20T00:46:06Z""",0.72
109,"Date:""2026-05-20T00:46:13Z""",0.75
110,"Date:""2026-05-20T00:46:18Z""",0.74
111,"Date:""2026-05-20T01:28:09Z""",0.26
112,"Date:""2026-05-20T01:28:53Z""",0.26
113,"Date:""2026-05-20T01:37:57Z""",0.29
114,"Date:""2026-05-20T01:41:46Z""",0.3
115,"Date:""2026-05-20T01:41:54Z""",0.27
116,"Date:""2026-05-20T01:41:54Z""",0.27
117,"Date:""2026-05-20T01:47:07Z""",0.28
118,"Date:""2026-05-20T01:50:46Z""",0.44
119,"Date:""2026-05-20T01:50:51Z""",0.43
120,"Date:""2026-05-20T01:55:26Z""",0.27
121,"Date:""2026-05-20T01:59:21Z""",0.42
122,"Date:""2026-05-20T01:59:25Z""",0.42
123,"Date:""2026-05-20T01:59:33Z""",0.44
124,"Date:""2026-05-20T01:59:47Z""",0.38
125,"Date:""2026-05-20T01:59:50Z""",0.3
126,"Date:""2026-05-20T02:11:53Z""",0.44
127,"Date:""2026-05-20T02:12:01Z""",0.44
128,"Date:""2026-05-20T02:12:07Z""",0.39
129,"Date:""2026-05-20T02:28:59Z""",0.43
130,"Date:""2026-05-20T02:32:19Z""",0.37
131,"Date:""2026-05-20T02:32:23Z""",0.39
132,"Date:""2026-05-20T02:33:21Z""",0.69
133,"Date:""2026-05-20T02:40:53Z""",0.68
134,"Date:""2026-05-20T02:40:59Z""",0.67
135,"Date:""2026-05-20T02:41:41Z""",0.66
136,"Date:""2026-05-20T02:48:32Z""",0.71
137,"Date:""2026-05-20T02:58:20Z""",0.72
138,"Date:""2026-05-20T03:09:08Z""",0.81
139,"Date:""2026-05-20T03:15:39Z""",0.86
140,"Date:""2026-05-20T03:16:43Z""",0.74
141,"Date:""2026-05-20T03:20:55Z""",1.1
142,"Date:""2026-05-20T03:21:53Z""",0.77
143,"Date:""2026-05-20T03:21:57Z""",0.84
144,"Date:""2026-05-20T03:52:28Z""",0.29
145,"Date:""2026-05-20T03:53:27Z""",0.68
146,"Date:""2026-05-20T03:55:56Z""",0.72
147,"Date:""2026-05-20T04:42:29Z""",0.36
148,"Date:""2026-05-20T04:43:59Z""",0.29
149,"Date:""2026-05-20T04:48:15Z""",0.42
150,"Date:""2026-05-20T04:48:18Z""",0.42
151,"Date:""2026-05-20T04:48:22Z""",0.39
152,"Date:""2026-05-20T04:50:25Z""",0.7
153,"Date:""2026-05-20T04:53:57Z""",0.72
154,"Date:""2026-05-20T04:54:03Z""",0.72
155,"Date:""2026-05-20T04:54:46Z""",0.74
156,"Date:""2026-05-20T17:29:01Z""",0.66
157,"Date:""2026-05-20T17:34:07Z""",0.29
158,"Date:""2026-05-20T17:34:17Z""",0.3
159,"Date:""2026-05-20T17:35:13Z""",0.32
160,"Date:""2026-05-20T17:37:17Z""",0.29
161,"Date:""2026-05-20T17:38:02Z""",0.32
162,"Date:""2026-05-20T17:58:54Z""",0.44
163,"Date:""2026-05-20T17:58:58Z""",0.42
164,"Date:""2026-05-20T17:59:04Z""",0.37
165,"Date:""2026-05-20T18:02:16Z""",0.34
166,"Date:""2026-05-20T18:06:00Z""",0.32
167,"Date:""2026-05-20T18:17:10Z""",0.3
168,"Date:""2026-05-20T18:23:48Z""",0.43
169,"Date:""2026-05-20T18:25:31Z""",0.36
170,"Date:""2026-05-20T18:26:57Z""",0.32
171,"Date:""2026-05-20T18:35:10Z""",0.32
172,"Date:""2026-05-20T18:36:26Z""",0.32
173,"Date:""2026-05-20T18:41:38Z""",0.43
174,"Date:""2026-05-20T18:43:07Z""",0.39
175,"Date:""2026-05-20T18:43:07Z""",0.39
176,"Date:""2026-05-20T18:43:14Z""",0.44
177,"Date:""2026-05-20T18:45:35Z""",0.29
178,"Date:""2026-05-20T18:46:13Z""",0.29
179,"Date:""2026-05-20T18:46:41Z""",0.29
180,"Date:""2026-05-20T18:46:54Z""",0.37
181,"Date:""2026-05-20T18:54:30Z""",0.34
182,"Date:""2026-05-20T18:59:47Z""",0.29
183,"Date:""2026-05-20T18:59:52Z""",0.33
184,"Date:""2026-05-20T19:00:36Z""",0.29
185,"Date:""2026-05-20T19:01:05Z""",0.34
186,"Date:""2026-05-20T19:03:01Z""",0.32
187,"Date:""2026-05-20T19:03:14Z""",0.46
188,"Date:""2026-05-20T19:03:29Z""",0.36
189,"Date:""2026-05-20T19:03:47Z""",0.43
190,"Date:""2026-05-20T19:14:26Z""",0.43
191,"Date:""2026-05-20T19:19:31Z""",0.76
192,"Date:""2026-05-20T19:21:44Z""",0.96
193,"Date:""2026-05-20T19:24:06Z""",0.62
194,"Date:""2026-05-20T19:24:11Z""",0.47
