"Unit","Time & Date (COT)","Driver","Address","Event","Idle Time (minutes)"
"TDL795","02/03/2026 05:26 AM","","Avda Troncal de Occidente # 18 - 76 Parque Industrial Santo Domingo, Mosquera, Cundinamarca, 250040","Idle","13.57"
"TDL795","02/03/2026 05:49 AM","","Avda Troncal de Occidente # 18 - 76 Parque Industrial Santo Domingo, Mosquera, Cundinamarca, 250040","Idle","59.48"
