GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BR4,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BRK,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CY8,SMR198,74,"41,15",2H:7M:27S,"2,12",1H:28M:44S,"1,48",3H:36M:11S,"3,60","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BPH,SMR198 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CRI,SMR391,72,"63,97",3H:35M:37S,"3,59",4H:52M:56S,"4,88",8H:28M:33S,"8,48","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BNO,SMR391 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CWW,SXY625,48,"37,74",2H:5M:6S,"2,09",1H:19M:39S,"1,33",3H:24M:45S,"3,41","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BXS,SXY625 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CSU,SXZ756,5,"0,00",0H:0M:19S,"0,01",0H:1M:2S,"0,02",0H:1M:21S,"0,02","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BOK,SXZ756 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CPD,TDL795,64,"75,14",3H:50M:6S,"3,84",4H:21M:15S,"4,35",8H:11M:21S,"8,19","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BX0,TDL795 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CN2,TDL796,84,"253,70",5H:24M:44S,"5,41",1H:53M:37S,"1,89",7H:18M:21S,"7,31","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BXK,TDL796 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1CU3,TDL797,63,"109,85",5H:12M:51S,"5,21",2H:5M:22S,"2,09",7H:18M:13S,"7,30","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1BXC,TDL797 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1COV,WFL149,66,"35,89",1H:20M:58S,"1,35",0H:59M:9S,"0,99",2H:20M:7S,"2,34","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"
,1A8E,WFL149 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","2.019,83",2D:17H:41M:53S,"65,70",2D:2H:33M:38S,"50,56",4D:20H:15M:31S,"116,26"

