"Tag","Unit","Driver","Distance (km)","Duration","Idle Time","Stop Time","Moving Percentage","Days Worked","Days Total","Days Percentage"
"Cota"," QJY339","","1338.69","1 day, 9 hr, 42 min, 47 sec","10 hr, 14 min, 51 sec","3 days, 4 hr, 2 min, 22 sec","44.34%",5,5,"100.00%"
"Cota","A1 LUM169 AIR2","","1266.97","1 day, 4 hr, 42 min, 20 sec","12 hr, 25 min, 9 sec","3 days, 6 hr, 52 min, 31 sec","36.39%",5,5,"100.00%"
"Cota","A2 LUM169 AIR2","","2104.41","21 hr, 6 min, 1 sec","11 hr, 5 min, 4 sec","3 days, 1 hr, 52 min, 50 sec","28.56%",5,5,"100.00%"
"Cota","A2 NUW693 AIR2","","1134.39","20 hr, 44 min, 21 sec","14 hr, 5 min, 2 sec","2 days, 5 hr, 41 min, 46 sec","38.62%",5,5,"100.00%"
"Cota","A2 QJX175 AIR2","","2243.26","1 day, 21 hr, 7 min, 50 sec","7 hr, 27 min, 11 sec","2 days, 15 hr, 27 min, 25 sec","71.12%",5,5,"100.00%"
"Cota","A2 QJY339 AIR2","","1334.43","1 day, 1 hr, 24 min, 51 sec","13 hr, 27 min, 41 sec","3 days, 5 hr, 55 min, 9 sec","32.62%",5,5,"100.00%"
"Cota","LUL144","","1884.67","1 day, 17 hr, 13 min, 17 sec","13 hr, 6 min, 33 sec","2 days, 17 hr, 16 min, 26 sec","63.15%",5,5,"100.00%"
"Cota","NUW693","","1295.05","1 day, 4 hr, 18 min, 16 sec","13 hr, 31 min, 42 sec","3 days, 6 hr, 7 min, 29 sec","36.23%",5,5,"100.00%"
"Cota","QJX175","","2299.16","2 days, 4 hr, 22 min, 1 sec","23 hr, 8 min, 33 sec","1 day, 19 hr, 31 min, 17 sec","120.32%",5,5,"100.00%"
"Ibagué","CHN017","","254.75","7 hr, 22 min, 55 sec","2 hr, 3 min, 13 sec","4 days, 5 hr, 49 min, 38 sec","7.25%",4,5,"80.00%"
"Ibagué","IBZ301","","518.52","16 hr, 52 min, 11 sec","0 min, 0 sec","4 days, 7 hr, 7 min, 49 sec","16.36%",4,5,"80.00%"
"Ibagué","SXZ756","","293.93","8 hr, 16 min, 55 sec","4 hr, 25 min, 19 sec","3 days, 18 hr, 19 min, 21 sec","9.17%",3,5,"60.00%"
"Ibagué","TDL796","","576.82","10 hr, 31 min, 31 sec","5 hr, 31 min, 42 sec","2 days, 22 hr, 5 min, 9 sec","15.02%",3,5,"60.00%"
"Mosquera","LQK053","","185.10","6 hr, 26 min, 34 sec","8 hr, 35 min, 8 sec","3 days, 22 hr, 19 min, 17 sec","6.83%",4,5,"80.00%"
"Mosquera","LQK054","","404.35","17 hr, 57 min, 12 sec","16 hr, 24 min, 4 sec","3 days, 13 hr, 38 min, 44 sec","20.96%",4,5,"80.00%"
"Mosquera","NOY423","","366.34","11 hr, 44 min, 39 sec","11 hr, 53 min, 7 sec","4 days, 0 hr, 22 min, 14 sec","12.19%",4,5,"80.00%"
"Mosquera","NOY424","","373.33","17 hr, 52 min, 11 sec","16 hr, 27 min, 40 sec","3 days, 13 hr, 40 min, 9 sec","20.86%",4,5,"80.00%"
"Mosquera","SMR391","","167.47","5 hr, 30 min, 32 sec","4 hr, 19 min, 36 sec","4 days, 14 hr, 9 min, 52 sec","5.00%",3,5,"60.00%"
"Mosquera","TDL795","","408.13","20 hr, 23 min, 22 sec","18 hr, 9 min, 17 sec","3 days, 9 hr, 27 min, 21 sec","25.03%",4,5,"80.00%"
"Mosquera","WFL149","","676.67","22 hr, 51 min, 11 sec","13 hr, 16 min, 57 sec","3 days, 11 hr, 51 min, 52 sec","27.25%",4,5,"80.00%"
"Pereira","SMR198","","724.99","19 hr, 53 min, 44 sec","9 hr, 26 min, 42 sec","3 days, 18 hr, 39 min, 34 sec","21.95%",4,5,"80.00%"
"Pereira","SXY625","","394.03","14 hr, 59 min, 42 sec","6 hr, 43 min, 8 sec","4 days, 2 hr, 17 min, 10 sec","15.26%",4,5,"80.00%"
"Pereira","TDL797","","20.13","44 min, 59 sec","16 min, 31 sec","4 days, 22 hr, 58 min, 30 sec","0.63%",2,5,"40.00%"
