"Tag","Unit","Driver","Distance (km)","Duration","Idle Time","Stop Time","Moving Percentage","Days Worked","Days Total","Days Percentage"
"Cota"," QJY339","","680.76","16 hr, 47 min, 14 sec","7 hr, 3 min, 2 sec","24 hr, 9 min, 44 sec","69.48%",2,2,"100.00%"
"Cota","A1 LUM169 AIR2","","513.54","13 hr, 21 min, 34 sec","1 hr, 36 min, 35 sec","1 day, 9 hr, 1 min, 51 sec","40.45%",2,2,"100.00%"
"Cota","A2 LUM169 AIR2","","440.57","1 hr, 11 min, 18 sec","54 min, 26 sec","1 day, 21 hr, 54 min, 16 sec","2.59%",2,2,"100.00%"
"Cota","A2 NUW693 AIR2","","409.85","9 hr, 8 min, 25 sec","5 hr, 24 min, 27 sec","19 hr, 53 min, 35 sec","45.95%",2,2,"100.00%"
"Cota","A2 QJX175 AIR2","","484.16","14 hr, 22 min, 36 sec","2 hr, 29 min, 47 sec","1 day, 7 hr, 7 min, 34 sec","46.19%",2,2,"100.00%"
"Cota","A2 QJY339 AIR2","","598.19","14 hr, 27 min, 59 sec","4 hr, 18 min, 51 sec","1 day, 5 hr, 13 min, 10 sec","49.51%",2,2,"100.00%"
"Cota","LUL144","","479.69","11 hr, 21 min, 16 sec","3 hr, 31 min, 9 sec","1 day, 9 hr, 7 min, 35 sec","34.28%",2,2,"100.00%"
"Cota","NUW693","","459.29","10 hr, 54 min, 12 sec","4 hr, 45 min, 34 sec","18 hr, 46 min, 42 sec","58.06%",2,2,"100.00%"
"Cota","QJX175","","564.18","14 hr, 52 min, 15 sec","6 hr, 53 min, 22 sec","1 day, 2 hr, 14 min, 23 sec","56.67%",2,2,"100.00%"
"Ibagué","CHN017","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Ibagué","IBZ301","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Ibagué","SXZ756","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Ibagué","TDL796","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Mosquera","LQK053","","66.74","1 hr, 5 min, 51 sec","54 min, 38 sec","1 day, 21 hr, 59 min, 31 sec","2.39%",1,2,"50.00%"
"Mosquera","LQK054","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Mosquera","NOY423","","12.12","25 min, 1 sec","21 min, 48 sec","1 day, 23 hr, 13 min, 11 sec","0.88%",1,2,"50.00%"
"Mosquera","NOY424","","0.00","0 min, 0 sec","14 min, 40 sec","1 day, 23 hr, 45 min, 20 sec","0.00%",1,2,"50.00%"
"Mosquera","SMR391","","14.76","28 min, 4 sec","16 min, 57 sec","1 day, 23 hr, 14 min, 59 sec","0.99%",1,2,"50.00%"
"Mosquera","TDL795","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Mosquera","WFL149","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Pereira","SMR198","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
"Pereira","SXY625","","71.16","3 hr, 46 min, 45 sec","1 hr, 50 min, 36 sec","1 day, 18 hr, 22 min, 39 sec","8.92%",1,2,"50.00%"
"Pereira","TDL797","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,2,"0.00%"
