GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BR4,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BRK,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CY8,SMR198,89,"214,14",10H:3M:31S,"10,06",7H:12M:0S,"7,20",17H:15M:31S,"17,26","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BPH,SMR198 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CRI,SMR391,85,"479,21",17H:25M:29S,"17,42",15H:57M:51S,"15,96",1D:9H:23M:20S,"33,39","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BNO,SMR391 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CWW,SXY625,80,"202,65",7H:26M:6S,"7,44",3H:30M:1S,"3,50",10H:56M:7S,"10,94","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BXS,SXY625 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CSU,SXZ756,77,"174,32",3H:58M:18S,"3,97",1H:54M:22S,"1,91",5H:52M:40S,"5,88","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BOK,SXZ756 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CPD,TDL795,89,"345,41",14H:4M:7S,"14,07",12H:56M:33S,"12,94",1D:3H:0M:40S,"27,01","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BX0,TDL795 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CN2,TDL796,85,"480,50",9H:14M:26S,"9,24",2H:38M:49S,"2,65",11H:53M:15S,"11,89","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BXK,TDL796 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1CU3,TDL797,68,"271,58",13H:17M:34S,"13,29",8H:43M:3S,"8,72",22H:0M:37S,"22,01","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1BXC,TDL797 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1COV,WFL149,76,"119,72",4H:26M:0S,"4,43",4H:54M:20S,"4,91",9H:20M:20S,"9,34","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"
,1A8E,WFL149 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","6.573,14",8D:13H:58M:16S,"205,97",6D:8H:25M:3S,"152,42",14D:22H:23M:19S,"358,39"

