,in and outs,date,raw data
11983,0b1000000000000000,050531155807,0x252514005900050869487060174421003C38402D00000059E80000050000008000000000000000FFFFFFFFFFFF1200000000001005053115580766666A4205E3E342CE72B4410000000003240465FFFFFF000018FFFFFFFFFF
11984,0b1000000000000000,050531155815,0x252514005900060869487060174421003C38402D00000059C80000050000008000000000000000FFFFFFFFFFFF1300000000001005053115581566666A4205E3E342CE72B4410000000003270460FFFFFF000019FFFFFFFFFF
11979,0b11000000000000,260208070503,0x252514005900010869487060174421003C38402D0000004BC90000050000003000000018211827FFFFFFFFFFFF1300000000001026020807050366666A4205E3E342CE72B4410000000003371807FFFFFF00001C0002FFFFFF
11981,0b0,260208070504,0x252514005900030869487060174421003C38402D0000004BC90000050000000000000018221817FFFFFFFFFFFF4500000000001026020807050466666A4205E3E342CE72B4410000000003371806FFFFFF00001D0002FFFFFF
11982,0b1000000000000000,260208070504,0x252514005900040869487060174421003C38402D0000004BC90000050000008000000018221817FFFFFFFFFFFF6800000000001026020807050466666A4205E3E342CE72B4410000000003360305FFFFFF00001D0002FFFFFF
11980,0b0,260208070504,0x252514005900020869487060174421003C38402D0000004BC90000050000000000000018221817FFFFFFFFFFFF4300000000001026020807050466666A4205E3E342CE72B4410000000003371806FFFFFF00001D0002FFFFFF
1,0b100000000,260705184430,0x252513005900010869487060174421003C38402D00000030800000050000000100000000000000FFFFFFFFFFFF00D0000000001026070518443082DC006509594497697C01D201D3015F03211239FFFFFF00002AFFFFFFFFFF
11985,0b100000100000000,260705184527,0x252514005900070869487060174421003C38402D0000004F000000000700644100000000000000FFFFFFFFFFFF16D5000000001026070518452782DC006509594465697C01D2015F01D303301245FFFFFF00002BFFFFFFFFFF
0,0b100000100000000,260705184631,0x252513005900020869487060174421003C38402D0000004F000000000700644100000000000000FFFFFFFFFFFF00D5000000001026070518463182DC006509594465697C01D201D2015F03361241FFFFFF00002CFFFFFFFFFF
2,0b100000100000000,260705184730,0x252513005900030869487060174421003C38402D00000048000000000700644100000000000000FFFFFFFFFFFF00D5000000001026070518473082DC006509594497697C01D2015F01D303401244FFFFFF00002CFFFFFFFFFF
11986,0b0,260705184756,0x252514005900080869487060174421003C38402D0000004B000000000700640000000000000000FFFFFFFFFFFF17D5000000001026070518475682DC006509594497697C01D2015F01D303421251FFFFFF00002CFFFFFFFFFF
11987,0b0,260705184759,0x252514005900090869487060174421003C38402D0000004B000000000700640000000000000000FFFFFFFFFFFF03D5000000001026070518475982DC006509594497697C01D201D3015F03421246FFFFFF00002CFFFFFFFFFF
11988,0b0,260705184809,0x2525140059000A0869487060174421003C38402D0000004B000000000700640000000000000000FFFFFFFFFFFF03D5000000001026070518480982DC006509594497697C01D201D3015F03431249FFFFFF00002CFFFFFFFFFF
11989,0b0,260705184813,0x2525140059000B0869487060174421003C38402D0000004B000000000700640000000000000000FFFFFFFFFFFF03D5000000001026070518481382DC006509594497697C01D201D3015F03431253FFFFFF00002CFFFFFFFFFF
11990,0b0,260705184820,0x2525140059000C0869487060174421003C38402D0000004B000000000700640000000000000000FFFFFFFFFFFF03D5000000001026070518482082DC006509594497697C01D201D3015F03431254FFFFFF00002CFFFFFFFFFF
11991,0b0,260705184824,0x2525140059000D0869487060174421003C38402D0000004F000000000700640000000000000000FFFFFFFFFFFF03D5000000001026070518482482DC006509594497697C01D201D3015F03431248FFFFFF00002CFFFFFFFFFF
11992,0b100000100000000,260705184832,0x2525140059000E0869487060174421003C38402D0000004F000000000700644100000000000000FFFFFFFFFFFF16D5000000001026070518483282DC006509594497697C01D201D3015F03441243FFFFFF00002CFFFFFFFFFF
3,0b100000100000000,260705184926,0x252513005900040869487060174421003C38402D0000004F460000000700644100000000000000FFFFFFFFFFFF00D5000000001026070518492633D3224406FE98C2A83763400000000003461245FFFFFF00002C0001FFFFFF
4,0b100000100000000,260705185031,0x252513005900050869487060174421003C38402D00000059490000000700644100000000000000FFFFFFFFFFFF00D5000000001026070518503133D3224406FE98C2A83763400000000003481246FFFFFF00002D0000FFFFFF
5,0b100000100000000,260705185131,0x252513005900060869487060174421003C38402D00000048490000000700644100000000000000FFFFFFFFFFFF00D5000000001026070518513133D3224406FE98C2A83763400000000003511244FFFFFF00002D0000FFFFFF
6,0b100000100000000,260705185231,0x252513005900070869487060174421003C38402D000000524D0000000700644100000000000000FFFFFFFFFFFF00D5000000001026070518523133D3224406FE98C2A83763400000000003521248FFFFFF00002D0000FFFFFF
