GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox20,Textbox21,Textbox24,Textbox25,Textbox26,Textbox27,Textbox28
,1CTM,SSL356,122,"16.765,74",12D:12H:31M:21S,"300,52",6D:15H:9M:3S,"159,15",19D:3H:40M:24S,"459,67","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0SMN,SSL362,100,"0,00",20D:1H:39M:18S,"481,66",7D:0H:29M:20S,"168,49",27D:2H:8M:38S,"650,14","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0W0I,SSL372,89,"15.847,29",12D:18H:9M:52S,"306,16",8D:6H:46M:29S,"198,77",21D:0H:56M:21S,"504,94","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0VDQ,SSL373,126,"16.345,54",14D:23H:6M:40S,"359,11",7D:0H:55M:45S,"168,93",22D:0H:2M:25S,"528,04","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0VLQ,SSL375,103,"0,00",14D:18H:11M:18S,"354,19",6D:21H:15M:5S,"165,25",21D:15H:26M:23S,"519,44","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,11BQ,SSL375 VF,95,"37.241,83",14D:17H:9M:49S,"353,16",18D:7H:2M:8S,"439,04",33D:0H:11M:57S,"792,20","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0V7U,SSL393,132,"17.277,90",21D:1H:41M:9S,"505,69",7D:16H:12M:36S,"184,21",28D:17H:53M:45S,"689,90","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0TXP,SSL463,95,"21.207,15",15D:21H:31M:58S,"381,53",6D:11H:54M:38S,"155,91",22D:9H:26M:36S,"537,44","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,14CL,SSL466,111,"0,00",20D:7H:55M:45S,"487,93",8D:13H:27M:40S,"205,46",28D:21H:23M:25S,"693,39","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,17G1,SSL480,134,"0,00",20D:7H:7M:24S,"487,12",9D:6H:12M:6S,"222,20",29D:13H:19M:30S,"709,33","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,15CB,SSL487,153,"15.707,70",20D:2H:12M:11S,"482,20",7D:20H:18M:27S,"188,31",27D:22H:30M:38S,"670,51","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,17MC,SSL492,93,"10.143,31",10D:21H:6M:48S,"261,11",4D:21H:56M:41S,"117,94",15D:19H:3M:29S,"379,06","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1EKN,SSL535,100,"20.277,28",16D:4H:14M:9S,"388,24",8D:14H:33M:16S,"206,55",24D:18H:47M:25S,"594,79","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1ECI,SSL542,119,"8.455,91",16D:6H:36M:20S,"390,61",9D:8H:27M:40S,"224,46",25D:15H:4M:0S,"615,07","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1EK8,SSL545,97,"3.453,23",14D:16H:4M:37S,"352,08",7D:6H:1M:59S,"174,03",21D:22H:6M:36S,"526,11","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,1GJ5,SSL559,80,"72,53",1H:55M:1S,"1,92",5H:2M:11S,"5,04",6H:57M:12S,"6,95","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VG,TJV233,95,"1.372,80",3D:12H:52M:25S,"84,87",4D:21H:34M:39S,"117,58",8D:10H:27M:4S,"202,45","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05V3,TJV261,142,"8.234,27",9D:3H:51M:15S,"219,85",20D:6H:12M:50S,"486,21",29D:10H:4M:5S,"706,07","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05UP,TJW522,98,"10.289,29",8D:1H:41M:49S,"193,70",3D:12H:40M:8S,"84,67",11D:14H:21M:57S,"278,37","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VV,VCH956,79,"2.339,91",2D:7H:50M:15S,"55,84",21H:53M:29S,"21,89",3D:5H:43M:44S,"77,73","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05V7,VMB637,89,"5.110,86",4D:16H:12M:47S,"112,21",4D:16H:9M:32S,"112,16",9D:8H:22M:19S,"224,37","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VU,VMB680,87,"6.123,65",8D:15H:43M:38S,"207,73",11D:0H:4M:30S,"264,08",19D:15H:48M:8S,"471,80","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,05VX,VMB700,87,"1.183,19",1D:3H:37M:39S,"27,63",1D:17H:7M:42S,"41,13",2D:20H:45M:21S,"68,76","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,732V,VMB719,92,"4.409,15",4D:11H:35M:3S,"107,58",3D:16H:12M:33S,"88,21",8D:3H:47M:36S,"195,79","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"
,0UJ7,VMB721,80,"0,00",8D:5H:54M:56S,"197,92",4D:12H:26M:3S,"108,43",12D:18H:20M:59S,"306,35","308.704,48",443D:15H:56M:9S,"10.647,94",344D:8H:8M:10S,"8.264,14",788D:0H:4M:19S,"18.912,07"

