Unit,count
GDX550,356
PXK574,337
PXK571,317
JYN930,312
LGU446,300
JYW714,295
LTL615,262
NLW978,260
GDX086,248
LGU417,234
WPX590,231
LKK378,228
ESP290,213
GTX996,207
WMR448,206
NLX863,190
GDY165,177
NLX865,156
JYM943,131
WLX372,131
GDY884,121
GDZ176,56
ESR610,47
NLX864,47
