Message_Type,count
GTFRI,26974
GTSTT,3381
GTIGL,643
GTPDP,504
GTIGN,324
GTIGF,323
GTHBM,8
GTSPD,7
GTTOW,4
GTDOG,4
GTPFA,4
GTPNA,4
GTRTL,4
GTIDN,1
GTIDF,1
