,Unidad,Distancia (km) Times Report,Distancia (km) Utilization,Tiempo Times Report,Tiempo Utilization
0,FSQ694,617.33,616.89,"1 hr, 10 min, 4 seg12 hr, 55 min, 53 seg12 hr, 57 min, 29 seg12 hr, 45 min, 33 seg13 hr, 3 min, 34 seg19 min, 45 seg7 min, 0 seg12 hr, 10 min, 43 seg13 hr, 41 min, 5 seg","1 días, 15 hr, 49 min, 32 seg"
1,KYR910,343.1,397.43,"10 hr, 35 min, 57 seg9 hr, 31 min, 14 seg10 hr, 42 min, 28 seg15 hr, 59 min, 4 seg17 hr, 16 min, 7 seg12 hr, 44 min, 48 seg10 hr, 27 min, 8 seg","19 hr, 45 min, 29 seg"
2,NOX568,697.98,706.11,"23 hr, 59 min, 59 seg12 hr, 25 min, 41 seg14 hr, 31 min, 50 seg13 hr, 52 min, 51 seg14 hr, 10 min, 55 seg15 hr, 18 min, 45 seg5 min, 14 seg16 hr, 14 min, 45 seg13 hr, 34 min, 58 seg","1 días, 2 hr, 4 min, 53 seg"
