"Unidad","Conductor","Evento","Dirección","Fecha","Tiempo (UTC-5)","Duración del Evento","Distancia (km)"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","12:44:43 PM","0 min, 0 seg","5.1"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","12:44:43 PM","10 min, 11 seg","5.1"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","12:44:43 PM","0 min, 0 seg","5.1"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","12:44:43 PM","10 min, 11 seg","5.1"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","12:44:43 PM","10 min, 11 seg","5.1"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","12:54:54 PM","6 hr, 19 min, 30 seg","5.1"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","7:14:24 PM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","7:14:24 PM","0 min, 23 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","7:14:47 PM","4 hr, 45 min, 12 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","14/06/2026","12:00:00 AM","24 hr, 0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","15/06/2026","12:00:00 AM","8 hr, 9 min, 36 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","15/06/2026","8:09:36 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","15/06/2026","8:09:36 AM","13 min, 35 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","15/06/2026","8:09:36 AM","13 min, 35 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","15/06/2026","8:23:11 AM","15 hr, 36 min, 48 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/06/2026","12:00:00 AM","4 hr, 20 min, 24 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/06/2026","4:20:24 AM","25 min, 21 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/06/2026","4:20:24 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 # 145-20, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/06/2026","4:20:24 AM","10 min, 28 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 145 #145-37 a 145-1, Bogotá, Colombia","16/06/2026","4:30:52 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 132d #159-13, Bogotá, Colombia","16/06/2026","4:45:44 AM","0 min, 0 seg","2.18"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 132d #159-13, Bogotá, Colombia","16/06/2026","4:45:45 AM","15 min, 3 seg","2.18"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 132d #159-13, Bogotá, Colombia","16/06/2026","5:00:48 AM","36 min, 15 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 132d #159-13, Bogotá, Colombia","16/06/2026","5:00:48 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 132d #159-13, Bogotá, Colombia","16/06/2026","5:00:48 AM","1 min, 1 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 132d #158-99 a 158-1, Bogotá, Colombia","16/06/2026","5:01:49 AM","0 min, 0 seg","0.02"
"FSQ694","Conductor FSQ694","Inactivo","Conexión Lisboa-Calle 80, Bogotá, Colombia","16/06/2026","5:09:49 AM","3 min, 19 seg","1.5"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75A #62-54, Bogotá, Colombia","16/06/2026","5:35:49 AM","1 min, 14 seg","6.71"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 75A #62-54, Bogotá, Colombia","16/06/2026","5:37:02 AM","0 min, 0 seg","6.71"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 75A #62-54, Bogotá, Colombia","16/06/2026","5:37:03 AM","0 min, 0 seg","6.71"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75A #62-54, Bogotá, Colombia","16/06/2026","5:54:27 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75A #62-54, Bogotá, Colombia","16/06/2026","5:54:27 AM","2 min, 11 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75A #62-54, Bogotá, Colombia","16/06/2026","5:54:27 AM","1 min, 39 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 62 #75a-21, Bogotá, Colombia","16/06/2026","5:56:05 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 75b #61-82, Bogotá, Colombia","16/06/2026","5:56:20 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 75b #61-82, Bogotá, Colombia","16/06/2026","5:56:38 AM","14 min, 44 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75b #61-82, Bogotá, Colombia","16/06/2026","6:11:22 AM","44 min, 30 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 75b #61-82, Bogotá, Colombia","16/06/2026","6:11:22 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 75b #61-82, Bogotá, Colombia","16/06/2026","6:11:22 AM","1 min, 51 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 60 #75b-2 a 75b-56, Bogotá, Colombia","16/06/2026","6:13:13 AM","0 min, 0 seg","0.11"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 78 #58-72, Bogotá, Colombia","16/06/2026","6:15:23 AM","2 min, 0 seg","0.22"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 139 #134-19, Bogotá, Colombia","16/06/2026","6:47:23 AM","4 min, 0 seg","8.66"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 138 #149c-6, Bogotá, Colombia","16/06/2026","6:55:51 AM","0 min, 0 seg","9.28"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 138 #149c-6, Bogotá, Colombia","16/06/2026","6:55:52 AM","28 min, 1 seg","9.28"
"KYR910","Conductor KYR910","Ignición Encendido","Cra 5l #49 Sur-32, Bogotá, Colombia","13/06/2026","5:04:16 AM","52 min, 0 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Cra 5l #49 Sur-32, Bogotá, Colombia","13/06/2026","5:04:16 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Inactivo","Cra 5l #49 Sur-32, Bogotá, Colombia","13/06/2026","5:04:16 AM","2 min, 43 seg","0"
"KYR910","Conductor KYR910","Inicio de Viaje","Dg. 48y Sur #5q-52 a 5q-84, Bogotá, Colombia","13/06/2026","5:07:39 AM","0 min, 0 seg","0.11"
"KYR910","Conductor KYR910","Inactivo","Av. Boyacá, Bogotá, Colombia","13/06/2026","5:30:17 AM","2 min, 0 seg","5.67"
"KYR910","Conductor KYR910","Fin de Viaje","Av. Ferrocarril de Occidente #82-40, Bogotá, Colombia","13/06/2026","5:56:15 AM","0 min, 0 seg","10.46"
"KYR910","Conductor KYR910","Ignición Apagada","Av. Ferrocarril de Occidente #82-40, Bogotá, Colombia","13/06/2026","5:56:16 AM","5 min, 11 seg","10.46"
"KYR910","Conductor KYR910","Ignición Encendido","Av. Ferrocarril de Occidente #82-40, Bogotá, Colombia","13/06/2026","6:22:10 AM","52 min, 59 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Av. Ferrocarril de Occidente #82-40, Bogotá, Colombia","13/06/2026","6:22:10 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Inicio de Viaje","Av Ciudad de Cali, Bogotá, Colombia","13/06/2026","6:23:59 AM","0 min, 0 seg","0.18"
"KYR910","Conductor KYR910","Inactivo","Cra. 81b #2B-99 A 2B-85, Bogotá, Colombia","13/06/2026","6:35:12 AM","2 min, 0 seg","3.91"
"KYR910","Conductor KYR910","Inactivo","Cra. 78k #37a Sur-88, Bogotá, Colombia","13/06/2026","6:43:11 AM","1 min, 1 seg","6.22"
"KYR910","Conductor KYR910","Inactivo","Cl. 57a Sur #79h-16, Bogotá, Colombia","13/06/2026","7:02:12 AM","1 min, 10 seg","9.02"
"KYR910","Conductor KYR910","Inactivo","Av. Bosa, Bogotá, Colombia","13/06/2026","7:05:12 AM","1 min, 19 seg","10.05"
"KYR910","Conductor KYR910","Fin de Viaje","Cra. 81b #60, Bogotá, Colombia","13/06/2026","7:15:08 AM","0 min, 0 seg","11.63"
"KYR910","Conductor KYR910","Ignición Apagada","Cra. 81b #60, Bogotá, Colombia","13/06/2026","7:15:09 AM","36 min, 35 seg","11.63"
"KYR910","Conductor KYR910","Ignición Encendido","Cra. 81b #60, Bogotá, Colombia","13/06/2026","7:51:44 AM","20 min, 22 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Cra. 81b #60, Bogotá, Colombia","13/06/2026","7:51:44 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Inicio de Viaje","Cl. 72a Sur #81g-2 a 81g-52, Bogotá, Colombia","13/06/2026","7:52:50 AM","0 min, 0 seg","0.12"
"KYR910","Conductor KYR910","Inactivo","Cra. 82h #61 Sur-96, Bogotá, Colombia","13/06/2026","7:58:45 AM","4 min, 0 seg","1.45"
"KYR910","Conductor KYR910","Fin de Viaje","Cl. 74 Bis Sur #87b-70, Bogotá, Colombia","13/06/2026","8:12:05 AM","0 min, 0 seg","3.96"
"KYR910","Conductor KYR910","Ignición Apagada","Cl. 74 Bis Sur #87b-70, Bogotá, Colombia","13/06/2026","8:12:06 AM","0 min, 0 seg","3.96"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 74 Bis Sur #87b-70, Bogotá, Colombia","13/06/2026","8:13:24 AM","1 hr, 10 min, 40 seg","3.93"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 74 Bis Sur #87b-70, Bogotá, Colombia","13/06/2026","8:13:24 AM","0 min, 0 seg","3.93"
"KYR910","Conductor KYR910","Inicio de Viaje","Cra. 87c #70 Sur-45 a 70 Sur-71, Bogotá, Colombia","13/06/2026","8:16:45 AM","0 min, 0 seg","0.31"
"KYR910","Conductor KYR910","Inactivo","Cra. 87c #62b Sur-6, Bogotá, Colombia","13/06/2026","8:18:45 AM","1 min, 20 seg","0.98"
"KYR910","Conductor KYR910","Inactivo","Cl. 62 Sur # 86B-51, Bosa, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","13/06/2026","8:21:45 AM","4 min, 0 seg","1.79"
"KYR910","Conductor KYR910","Inactivo","Cra. 86a Bis #86A-09, Bogotá, Colombia","13/06/2026","8:26:44 AM","5 min, 1 seg","4.58"
"KYR910","Conductor KYR910","Inactivo","Cl. 73 Sur #81b-17, Bogotá, Colombia","13/06/2026","8:38:45 AM","2 min, 10 seg","5.94"
"KYR910","Conductor KYR910","Inactivo","Tv. 80j #78 Sur-86, Bogotá, Colombia","13/06/2026","8:45:45 AM","24 min, 0 seg","11.3"
"KYR910","Conductor KYR910","Inactivo","Cra. 80i #84 Sur-7, Bogotá, Colombia","13/06/2026","9:10:45 AM","4 min, 43 seg","11.57"
"KYR910","Conductor KYR910","Inicio de Viaje","Cra. 86, Bogotá, Colombia","13/06/2026","9:15:51 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Inicio de Viaje","Cra 87B, Bogotá, Colombia","13/06/2026","9:19:45 AM","0 min, 0 seg","0.49"
"KYR910","Conductor KYR910","Fin de Viaje","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:24:03 AM","0 min, 0 seg","14.98"
"KYR910","Conductor KYR910","Ignición Apagada","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:24:04 AM","0 min, 0 seg","14.98"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:24:46 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:24:46 AM","0 min, 18 seg","0"
"KYR910","Conductor KYR910","Ignición Apagada","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:25:04 AM","16 min, 47 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:41:51 AM","0 min, 0 seg","9.46"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 74 Bis Sur #87b-56, Bogotá, Colombia","13/06/2026","9:41:51 AM","1 min, 5 seg","10.98"
"KYR910","Conductor KYR910","Inicio de Viaje","Cl. 74 Bis Sur #87b-34, Bogotá, Colombia","13/06/2026","9:42:38 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Fin de Viaje","Cl. 74 Bis Sur #87b-34, Bogotá, Colombia","13/06/2026","9:42:39 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Ignición Apagada","Cra. 87b Bis A #73c Sur-68, Bogotá, Colombia","13/06/2026","9:42:56 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 73 Sur #81b-16, Bogotá, Colombia","13/06/2026","10:16:53 AM","50 min, 13 seg","0"
"KYR910","Conductor KYR910","Ignición Encendido","Cl. 73 Sur #81b-16, Bogotá, Colombia","13/06/2026","10:16:53 AM","0 min, 0 seg","0"
"KYR910","Conductor KYR910","Inactivo","Cl. 71a Sur #82a-8, Bogotá, Colombia","13/06/2026","10:19:54 AM","7 min, 0 seg","0.37"
"KYR910","Conductor KYR910","Inactivo","Ave Ciudad de Cali #6389, Bosa, Bogotá, Colombia","13/06/2026","10:27:54 AM","4 min, 0 seg","7.61"
"KYR910","Conductor KYR910","Inactivo","Av. Bosa, Bogotá, Colombia","13/06/2026","10:34:53 AM","4 min, 1 seg","8.52"
"KYR910","Conductor KYR910","Inicio de Viaje","Cra. 78f #59 Sur-1 a 59 Sur-55, Bogotá, Colombia","13/06/2026","10:38:54 AM","0 min, 0 seg","2.14"
"KYR910","Conductor KYR910","Inactivo","40 #63-69, Cdad. Bolívar, Bogotá, Colombia","13/06/2026","11:00:53 AM","1 min, 1 seg","19.66"
"KYR910","Conductor KYR910","Inicio de Viaje","Cra. 56 #56-95 a 56-1, Bogotá, Colombia","13/06/2026","11:04:32 AM","0 min, 0 seg","5.08"
