"Unidad","Conductor","Evento","Dirección","Fecha","Tiempo (UTC-5)","Duración del Evento","Distancia (km)"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","12:00:00 AM","6 hr, 7 min, 14 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","6:07:14 AM","20 min, 20 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","6:07:14 AM","4 min, 45 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 145 #145-37 a 145-1, Bogotá, Colombia","16/04/2026","6:21:15 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cra. 141 #142-50, Bogotá, Colombia","16/04/2026","6:27:33 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 141 #142-50, Bogotá, Colombia","16/04/2026","6:27:34 AM","23 min, 29 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 141 #142-50, Bogotá, Colombia","16/04/2026","6:51:03 AM","6 min, 5 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cra. 141 #142-50, Bogotá, Colombia","16/04/2026","6:51:03 AM","1 min, 1 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 141 #142-32 a 142-74, Bogotá, Colombia","16/04/2026","6:52:04 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/04/2026","6:57:07 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/04/2026","6:57:08 AM","27 min, 17 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/04/2026","7:24:25 AM","1 hr, 16 min, 28 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 138 # 149C-8, Suba, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia","16/04/2026","7:24:25 AM","3 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 152 #138-2 a 138-36, Bogotá, Colombia","16/04/2026","7:27:25 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 73 #74a-47 a 74a-1, Bogotá, Colombia","16/04/2026","8:40:52 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 73 #74a-47 a 74a-1, Bogotá, Colombia","16/04/2026","8:40:53 AM","2 hr, 14 min, 24 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 73 #74a-47 a 74a-1, Bogotá, Colombia","16/04/2026","10:55:17 AM","32 min, 42 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 73 #74a-47 a 74a-1, Bogotá, Colombia","16/04/2026","10:55:17 AM","2 min, 1 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 73 #73a-2 a 73a-98, Bogotá, Colombia","16/04/2026","10:57:18 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 133 #133-13, Bogotá, Colombia","16/04/2026","11:27:58 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 133 #133-13, Bogotá, Colombia","16/04/2026","11:27:59 AM","4 min, 57 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 133 #133-13, Bogotá, Colombia","16/04/2026","11:32:56 AM","2 hr, 25 min, 48 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cra. 131 #133-99 a 133-3, Bogotá, Colombia","16/04/2026","11:33:42 AM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cra. 69 #93a-10, Bogotá, Colombia","16/04/2026","1:58:43 PM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 69 #93a-10, Bogotá, Colombia","16/04/2026","1:58:44 PM","40 min, 38 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 69 #93a-10, Bogotá, Colombia","16/04/2026","2:39:22 PM","2 min, 18 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 93a #68d-85, Bogotá, Colombia","16/04/2026","2:40:04 PM","0 min, 0 seg","0.01"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cl. 93a #68b-3, Bogotá, Colombia","16/04/2026","2:41:03 PM","0 min, 0 seg","0.11"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cl. 94a #68b-1, Bogotá, Colombia","16/04/2026","2:41:40 PM","53 min, 24 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cl. 94a #68b-1, Bogotá, Colombia","16/04/2026","3:35:04 PM","1 hr, 50 min, 13 seg","0"
"FSQ694","Conductor FSQ694","Inactivo","Cl. 94a #68b-1, Bogotá, Colombia","16/04/2026","3:35:04 PM","11 min, 27 seg","0"
"FSQ694","Conductor FSQ694","Inicio de Viaje","Cl. 95 #68b-18 a 68b-62, Bogotá, Colombia","16/04/2026","3:46:31 PM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Fin de Viaje","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","5:25:16 PM","0 min, 0 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","5:25:17 PM","1 hr, 25 min, 9 seg","0"
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","6:50:26 PM","0 min, 15 seg","0"
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","16/04/2026","6:50:41 PM","5 hr, 9 min, 18 seg","0"
