"Etiqueta","Unidad","Conductor","Distancia (km)","Duración","Tiempo en Inactividad","Tiempo de Parada","Porcentaje en Movimiento","Días Trabajados","Días Totales","Porcentaje de Días"
"ORT","FSQ694","Conductor FSQ694","616.89","1 días, 15 hr, 49 min, 32 seg","4 hr, 42 min, 53 seg","7 días, 3 hr, 27 min, 35 seg","23.23%",9,9,"100.00%"
"ORT","KYR910","Conductor KYR910","397.43","19 hr, 45 min, 29 seg","2 hr, 19 min, 2 seg","5 días, 4 hr, 39 min, 48 seg","15.85%",7,9,"77.78%"
"ORT","NOX568","Conductor NOX568","706.11","1 días, 2 hr, 4 min, 53 seg","3 hr, 23 min, 13 seg","7 días, 18 hr, 31 min, 54 seg","13.98%",8,9,"88.89%"
