"Etiqueta","Unidad","Conductor","Distancia (km)","Duración","Tiempo en Inactividad","Tiempo de Parada","Porcentaje en Movimiento","Días Trabajados","Días Totales","Porcentaje de Días"
"ORT","FSQ694","Conductor FSQ694","447.02","20 hr, 28 min, 40 seg","9 hr, 2 min, 55 seg","3 días, 18 hr, 28 min, 25 seg","22.63%",4,5,"80.00%"
"ORT","KYR910","Conductor KYR910","219.29","5 hr, 33 min, 45 seg","2 hr, 5 min, 27 seg","3 días, 8 hr, 51 min, 30 seg","6.88%",4,5,"80.00%"
"ORT","NOX568 ","Conductor NOX568","706.96","19 hr, 4 min, 7 seg","6 hr, 16 min, 23 seg","3 días, 22 hr, 39 min, 30 seg","20.14%",5,5,"100.00%"
