"Unidad","Conductor","Evento","Dirección","Fecha","Tiempo (UTC-5)","Duración del Evento","Distancia (km)"
"FSQ694","Conductor FSQ694","Ignición Encendido","Ac 145 #145-34, Bogotá, Colombia","12/07/2026","6:50:15 PM","13 min, 45 seg",""
"FSQ694","Conductor FSQ694","Ignición Encendido","Ac 145 #145-34, Bogotá, Colombia","12/07/2026","6:50:15 PM","0 min, 0 seg",""
"FSQ694","Conductor FSQ694","Inactivo","Ac 145 #145-34, Bogotá, Colombia","12/07/2026","6:50:15 PM","13 min, 45 seg",""
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","12/07/2026","7:04:00 PM","0 min, 0 seg",""
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","12/07/2026","7:04:00 PM","4 hr, 55 min, 59 seg",""
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","13/07/2026","12:00:00 AM","9 hr, 59 min, 11 seg",""
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #145 - 10, Bogotá, Colombia","13/07/2026","9:59:11 AM","13 min, 55 seg",""
"FSQ694","Conductor FSQ694","Ignición Encendido","Cra. 145 #145 - 10, Bogotá, Colombia","13/07/2026","9:59:11 AM","0 min, 0 seg",""
"FSQ694","Conductor FSQ694","Inactivo","Cra. 145 #145 - 10, Bogotá, Colombia","13/07/2026","9:59:11 AM","13 min, 55 seg",""
"FSQ694","Conductor FSQ694","Ignición Apagada","Cra. 145 #145 - 10, Bogotá, Colombia","13/07/2026","10:13:06 AM","13 hr, 46 min, 53 seg",""
"KYR910","Conductor KYR910","Ignición Apagada","Cra. 5m #49-11, Bogotá, Colombia","12/07/2026","12:00:00 AM","24 hr, 0 min, 0 seg",""
"KYR910","Conductor KYR910","Ignición Apagada","Cra. 5m #49-11, Bogotá, Colombia","13/07/2026","12:00:00 AM","18 hr, 23 min, 35 seg",""
"KYR910","Conductor KYR910","Ignición Encendido","Cra. 5m #49-11, Bogotá, Colombia","13/07/2026","6:23:35 PM","0 min, 0 seg",""
"KYR910","Conductor KYR910","Ignición Encendido","Cra. 5m #49-11, Bogotá, Colombia","13/07/2026","6:23:35 PM","0 min, 44 seg",""
"KYR910","Conductor KYR910","Inicio de Viaje","Cl. 49 Sur #5l-41 a 5l-29, Bogotá, Colombia","13/07/2026","6:23:47 PM","0 min, 0 seg",""
"KYR910","Conductor KYR910","Fin de Viaje","Cra. 5m #49-31, Bogotá, Colombia","13/07/2026","6:24:18 PM","0 min, 0 seg","0.01"
"KYR910","Conductor KYR910","Ignición Apagada","Cra. 5m #49-31, Bogotá, Colombia","13/07/2026","6:24:19 PM","5 hr, 35 min, 40 seg",""
"NOX568 ","Conductor NOX568","Ignición Apagada","Cra 1 #47 Sur-25, Bogotá, Colombia","12/07/2026","12:00:00 AM","24 hr, 0 min, 0 seg",""
"NOX568 ","Conductor NOX568","Ignición Apagada","Cra 1 #47 Sur-25, Bogotá, Colombia","13/07/2026","12:00:00 AM","17 hr, 20 min, 4 seg",""
"NOX568 ","Conductor NOX568","Ignición Encendido","Cra 1 #47 Sur-25, Bogotá, Colombia","13/07/2026","5:20:04 PM","0 min, 0 seg",""
"NOX568 ","Conductor NOX568","Ignición Encendido","Cra 1 #47 Sur-25, Bogotá, Colombia","13/07/2026","5:20:04 PM","1 min, 6 seg",""
"NOX568 ","Conductor NOX568","Inactivo","Cra 1 #47 Sur-25, Bogotá, Colombia","13/07/2026","5:20:04 PM","1 min, 6 seg",""
"NOX568 ","Conductor NOX568","Ignición Apagada","Cra 1 #47 Sur-25, Bogotá, Colombia","13/07/2026","5:21:10 PM","6 hr, 38 min, 49 seg",""
