,in and outs,date,raw data
0,0b100000100000000,260921000037,0x2525130059EBE80869487060173472003C38402D0000003A520000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000037CDDC8044E99698C29C3A66400000014603931257FFFFFF0000210000FFFFFF
1,0b100000100000000,260921000138,0x2525130059EBE90869487060173472003C38402D0000003E500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000138CDDC8044E99698C29C3A66400000014603931252FFFFFF0000210000FFFFFF
2975,0b100000100000000,260921000219,0x252514005938D60869487060173472003C38402D00000037520000000700644100000000000000FFFFFFFFFFFF18D50006605600260921000219CDDC8044E99698C29C3A66400000014603931258FFFFFF0000210000FFFFFF
2,0b100000100000000,260921000338,0x2525130059EBEA0869487060173472003C38402D00000037510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000338CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
3,0b100000100000000,260921000438,0x2525130059EBEB0869487060173472003C38402D00000033510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000438CDDC8044E99698C29C3A66400000014603931259FFFFFF0000210000FFFFFF
4,0b100000100000000,260921000537,0x2525130059EBEC0869487060173472003C38402D0000003A500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000537CDDC8044E99698C29C3A66400000014603931252FFFFFF0000210000FFFFFF
5,0b100000100000000,260921000638,0x2525130059EBED0869487060173472003C38402D0000003A500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000638CDDC8044E99698C29C3A66400000014603931259FFFFFF0000210000FFFFFF
2976,0b100000100000000,260921000719,0x252514005938D70869487060173472003C38402D0000003A520000000700644100000000000000FFFFFFFFFFFF18D50006605600260921000719CDDC8044E99698C29C3A66400000014603931252FFFFFF0000210000FFFFFF
6,0b100000100000000,260921000838,0x2525130059EBEE0869487060173472003C38402D0000003E520000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000838CDDC8044E99698C29C3A66400000014603931255FFFFFF0000210000FFFFFF
7,0b100000100000000,260921000938,0x2525130059EBEF0869487060173472003C38402D00000037510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921000938CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
8,0b100000100000000,260921001038,0x2525130059EBF00869487060173472003C38402D0000003E500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001038CDDC8044E99698C29C3A66400000014603931257FFFFFF0000210000FFFFFF
9,0b100000100000000,260921001137,0x2525130059EBF10869487060173472003C38402D0000003A4F0000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001137CDDC8044E99698C29C3A66400000014603931260FFFFFF0000210000FFFFFF
2977,0b100000100000000,260921001220,0x252514005938D80869487060173472003C38402D0000003A500000000700644100000000000000FFFFFFFFFFFF18D50006605600260921001220CDDC8044E99698C29C3A66400000014603931250FFFFFF0000210000FFFFFF
10,0b100000100000000,260921001338,0x2525130059EBF20869487060173472003C38402D00000037510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001338CDDC8044E99698C29C3A66400000014603931255FFFFFF0000210000FFFFFF
11,0b100000100000000,260921001438,0x2525130059EBF30869487060173472003C38402D0000003A510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001438CDDC8044E99698C29C3A66400000014603931253FFFFFF0000210000FFFFFF
12,0b100000100000000,260921001537,0x2525130059EBF40869487060173472003C38402D0000003A510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001537CDDC8044E99698C29C3A66400000014603931259FFFFFF0000210000FFFFFF
13,0b100000100000000,260921001638,0x2525130059EBF50869487060173472003C38402D00000037500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001638CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
2978,0b100000100000000,260921001720,0x252514005938D90869487060173472003C38402D0000003E500000000700644100000000000000FFFFFFFFFFFF18D50006605600260921001720CDDC8044E99698C29C3A66400000014603931255FFFFFF0000210000FFFFFF
14,0b100000100000000,260921001838,0x2525130059EBF60869487060173472003C38402D0000003E500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001838CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
15,0b100000100000000,260921001938,0x2525130059EBF70869487060173472003C38402D00000037520000000700644100000000000000FFFFFFFFFFFF00D50006605600260921001938CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
16,0b100000100000000,260921002037,0x2525130059EBF80869487060173472003C38402D0000003A520000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002037CDDC8044E99698C29C3A66400000014603931257FFFFFF0000210000FFFFFF
17,0b100000100000000,260921002138,0x2525130059EBF90869487060173472003C38402D00000037510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002138CDDC8044E99698C29C3A66400000014603931258FFFFFF0000210000FFFFFF
2979,0b100000100000000,260921002221,0x252514005938DA0869487060173472003C38402D00000037510000000700644100000000000000FFFFFFFFFFFF18D50006605600260921002221CDDC8044E99698C29C3A66400000014603931256FFFFFF0000210000FFFFFF
18,0b100000100000000,260921002338,0x2525130059EBFA0869487060173472003C38402D00000037510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002338CDDC8044E99698C29C3A66400000014603931256FFFFFF0000210000FFFFFF
19,0b100000100000000,260921002438,0x2525130059EBFB0869487060173472003C38402D00000037500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002438CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
20,0b100000100000000,260921002537,0x2525130059EBFC0869487060173472003C38402D0000003A500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002537CDDC8044E99698C29C3A66400000014603931255FFFFFF0000210000FFFFFF
21,0b100000100000000,260921002638,0x2525130059EBFD0869487060173472003C38402D0000003A500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002638CDDC8044E99698C29C3A66400000014603931257FFFFFF0000210000FFFFFF
2980,0b100000100000000,260921002721,0x252514005938DB0869487060173472003C38402D00000037500000000700644100000000000000FFFFFFFFFFFF18D50006605600260921002721CDDC8044E99698C29C3A66400000014603931256FFFFFF0000210000FFFFFF
22,0b100000100000000,260921002838,0x2525130059EBFE0869487060173472003C38402D0000003A4E0000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002838CDDC8044E99698C29C3A66400000014603931258FFFFFF0000210000FFFFFF
23,0b100000100000000,260921002938,0x2525130059EBFF0869487060173472003C38402D0000003A510000000700644100000000000000FFFFFFFFFFFF00D50006605600260921002938CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
24,0b100000100000000,260921003037,0x2525130059EC000869487060173472003C38402D0000003A500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003037CDDC8044E99698C29C3A66400000014603931253FFFFFF0000210000FFFFFF
25,0b100000100000000,260921003138,0x2525130059EC010869487060173472003C38402D0000003E4F0000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003138CDDC8044E99698C29C3A66400000014603931260FFFFFF0000210000FFFFFF
2981,0b100000100000000,260921003222,0x252514005938DC0869487060173472003C38402D000000374E0000000700644100000000000000FFFFFFFFFFFF18D50006605600260921003222CDDC8044E99698C29C3A66400000014603931261FFFFFF0000210000FFFFFF
26,0b100000100000000,260921003338,0x2525130059EC020869487060173472003C38402D0000003A4F0000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003338CDDC8044E99698C29C3A66400000014603931253FFFFFF0000210000FFFFFF
27,0b100000100000000,260921003438,0x2525130059EC030869487060173472003C38402D0000003A4F0000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003438CDDC8044E99698C29C3A66400000014603931258FFFFFF0000210000FFFFFF
28,0b100000100000000,260921003537,0x2525130059EC040869487060173472003C38402D00000037500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003537CDDC8044E99698C29C3A66400000014603931254FFFFFF0000210000FFFFFF
29,0b100000100000000,260921003638,0x2525130059EC050869487060173472003C38402D0000003A4F0000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003638CDDC8044E99698C29C3A66400000014603931255FFFFFF0000210000FFFFFF
2982,0b100000100000000,260921003723,0x252514005938DD0869487060173472003C38402D0000003A4F0000000700644100000000000000FFFFFFFFFFFF18D50006605600260921003723CDDC8044E99698C29C3A66400000014603931253FFFFFF0000210000FFFFFF
30,0b100000100000000,260921003838,0x2525130059EC060869487060173472003C38402D0000003E500000000700644100000000000000FFFFFFFFFFFF00D50006605600260921003838CDDC8044E99698C29C3A66400000014603931256FFFFFF0000210000FFFFFF
