,Date,Unit,Events,Speed
13,May 14 2026 08:15 AM,BCY-928,Idle Alert,0
53,May 14 2026 06:58 AM,BCY-928,Idle Alert,0
61,May 14 2026 06:46 AM,BCY-928,Idle Alert,0
77,May 14 2026 06:23 AM,BCY-928,Idle Alert,0
196,May 14 2026 03:25 AM,BCY-928,Idle Alert,0
219,May 13 2026 12:04 PM,BCY-928,Idle Alert,0
251,May 13 2026 11:16 AM,BCY-928,Idle Alert,0
460,May 13 2026 07:02 AM,BCY-928,Idle Alert,0
629,May 13 2026 03:25 AM,BCY-928,Idle Alert,0
