Possible ignition;Odometer;Date from GPS;Historical locations;;
000101000005 -> 0 -> 1364417.0 -> 0x252514005910280869487063253305003C0E102D00000000EF00000007000061000000FFFFFFFFFFFFFFFFFFFF16800014D1C11000010100000500D09B44197E97C20A059A400000003803201264FFFFFF000017FFFFFFFFFF;1364417;260724175027_260725124200;"3428,6207,SY007CF0088H8,Ignici�n Apagada,Jul 24 2026 04:15 PM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8131151199,-75.7462844849";"3421,6214,SY007CF0088H8,Ignici�n Apagada,Jul 25 2026 07:02 AM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.813115,-75.746284";
000101000010 -> 1 -> 1380931.0 -> 0x252514005910A80869487063253305003C0E102D00000000F000000007000061000000FFFFFFFFFFFFFFFFFFFF16800015124310000101000010CDCC9C44157E97C2FE049A400000012803171196FFFFFF00001CFFFFFFFFFF;1380931;260730212202_260731130849;"251,9384,SY007CF0088H8,Ignici�n Apagada,Jul 30 2026 04:22 PM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8131093979,-75.7462539673";"118,9517,SY007CF0088H8,Ignici�n Apagada,Jul 31 2026 09:42 AM,,""Kr11 77-51, Pereira, Risaralda, Colombia"",0,,,4.8131494522,-75.7464370728";
000101000010 -> 2 -> 1351420.0 -> 0x25251400590FEE0869487063253305003C0E102D00000000EF00000007000061000000FFFFFFFFFFFFFFFFFFFF168000149EFC10000101000010CD9C9C44137E97C234039A400000009A03181264FFFFFF000019FFFFFFFFFF;1351420;260722001644_260722151041;"4853,4782,SY007CF0088H8,Ignici�n Apagada,Jul 21 2026 07:22 PM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8128910065,-75.7462387085";"4846,4789,SY007CF0088H8,Ignici�n Apagada,Jul 22 2026 06:51 AM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8128910065,-75.7462387085";
000101000010 -> 3 -> 1342099.0 -> 0x25251400590FDC0869487063253305003C0E102D00000000F000000007000061000000FFFFFFFFFFFFFFFFFFFF168000147A931000010100001000A09C449C8397C2A0089A400000006803181196FFFFFF00001CFFFFFFFFFF;1342099;260720194539_260721123953;"5620,4015,SY007CF0088H8,Ignici�n Apagada,Jul 20 2026 04:17 PM,,""Av 29-48, Pereira, Risaralda"",0,,,4.8135528564,-75.7570495605";"5609,4026,SY007CF0088H8,Ignici�n Apagada,Jul 21 2026 07:39 AM,,""Av 29-48, Pereira, Risaralda"",0,,,4.8135528564,-75.7570495605";
000101000010 -> 4 -> 1334580.0 -> 0x25251400590FC40869487063253305003C0E102D00000000EE00000007000061000000FFFFFFFFFFFFFFFFFFFF168000145D341000010100001066969C44267E97C2C4029A40000000FF03211212FFFFFF000018FFFFFFFFFF;1334580;260718174255_260720121222;"5924,3711,SY007CF0088H8,Ignici�n Apagada,Jul 18 2026 01:40 PM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8128376007,-75.746383667";"5917,3718,SY007CF0088H8,Ignici�n Apagada,Jul 20 2026 07:12 AM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8128376007,-75.746383667";
000101000010 -> 5 -> 1330540.0 -> 0x25251400590FB00869487063253305003C0E102D00000000F000000007000061000000FFFFFFFFFFFFFFFFFFFF168000144D6C1000010100001066269D44127E97C203049A40000000A603201196FFFFFF000019FFFFFFFFFF;1330540;260717203224_260718124416;"6261,3374,SY007CF0088H8,Ignici�n Apagada,Jul 17 2026 03:48 PM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8129897118,-75.7462310791";"6255,3380,SY007CF0088H8,Ignici�n Apagada,Jul 18 2026 06:46 AM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8129897118,-75.7462310791";
000101000010 -> 6 -> 1315870.0 -> 0x25251400590F740869487063253305003C0E102D00000000F000000000000061000000FFFFFFFFFFFFFFFFFFFF16800014141E10000101000010CD0C9C443A7E97C213069A400000010003191199FFFFFF00001AFFFFFFFFFF;1315870;260714195558_260715120203;"7316,2319,SY007CF0088H8,Ignici�n Apagada,Jul 14 2026 04:11 PM,,""Kr11 77-51, Pereira, Risaralda, Colombia"",0,,,4.8132414818,-75.7465362549";"7303,2332,SY007CF0088H8,Ignici�n Apagada,Jul 15 2026 07:02 AM,,""Kr11 77-51, Pereira, Risaralda, Colombia"",0,,,4.8132414818,-75.7465362549";
000101000010 -> 7 -> 1315756.0 -> 0x25251400590F5E0869487063253305003C0E102D00000000ED00000007000061000000FFFFFFFFFFFFFFFFFFFF1680001413AC100001010000109A199D440F7E97C265039A40000000A403251264FFFFFF000019FFFFFFFFFF;1315756;260711213604_260714125457;"7596,2039,SY007CF0088H8,Ignici�n Apagada,Jul 11 2026 04:36 PM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8129143715,-75.7462081909";"7407,2228,SY007CF0088H8,Ignici�n Apagada,Jul 14 2026 10:25 AM,,""Variante La Romelia-El Pollo / RD29 Ramal C, Pereira, Risaralda, Colombia"",0,,,4.8132400513,-75.746383667";
000101000010 -> 8 -> 1309022.0 -> 0x25251400590F2E0869487063253305003C0E102D00000000EE00000007000061000000FFFFFFFFFFFFFFFFFFFF16800013F95E10000101000010CD9C9F44568397C210049A400000005803161267FFFFFF000020FFFFFFFFFF;1309022;260709214035_260710123601;"8726,909,SY007CF0088H8,Ignici�n Apagada,Jul 09 2026 04:58 PM,,""Av 29-50, Pereira, Risaralda"",0,,,4.8129959106,-75.7565155029";"8580,1055,SY007CF0088H8,Ignici�n Apagada,Jul 10 2026 09:38 AM,,""Av 29-52, Pereira, Risaralda"",0,,,4.8129444122,-75.7561340332";
000101000010 -> 9 -> 1298604.0 -> 0x25251400590F1C0869487063253305003C0E102D00000000EE00000007000061000000FFFFFFFFFFFFFFFFFFFF16800013D0AC100001010000103323AB44F67297C27C439A400000011F03181261FFFFFF000023FFFFFFFFFF;1298604;260708134012_260709135542;"8977,658,SY007CF0088H8,Ignici�n Apagada,Jul 08 2026 03:33 PM,,""I-29, Pereira, Risaralda, Colombia"",0,,,4.8207378387,-75.7245330811";"8964,671,SY007CF0088H8,Ignici�n Apagada,Jul 09 2026 09:02 AM,,""Av Parque Industrial-20, Pereira, Risaralda"",0,,,4.8209242821,-75.7247848511";
