,date,ncode,predicted_value
0,260819150131,4095,55.84866323665693
1,260819150546,4095,55.84866323665693
2,260819151001,4095,55.84866323665693
3,260819151416,4095,55.84866323665693
4,260819151831,4095,55.84866323665693
5,260819152246,4095,55.84866323665693
6,260819152701,4095,55.84866323665693
7,260819153116,4095,55.84866323665693
8,260819153531,4095,55.84866323665693
9,260819153946,4095,55.84866323665693
10,260819154401,4095,55.84866323665693
11,260819154816,4095,55.84866323665693
12,260819155231,4095,55.84866323665693
13,260819155646,4095,55.84866323665693
14,260819160102,4095,55.84866323665693
15,260819160517,4095,55.84866323665693
16,260819160932,4095,55.84866323665693
17,260819161347,3649,49.61594669219625
18,260819161802,2632,35.403676006733214
19,260819162217,1955,25.942803583863526
20,260819162632,1313,16.971045688025505
21,260819163047,887,11.01782315901149
22,260819163502,889,11.045772560556157
23,260819163917,887,11.01782315901149
24,260819164332,883,10.961924355922157
25,260819164747,883,10.961924355922157
26,260819165202,883,10.961924355922157
27,260819165617,883,10.961924355922157
28,260819170032,892,11.087696662873158
29,260819170447,915,11.409114780636823
30,260819171151,3976,54.18567384474926
31,260819171606,4073,55.5412198196656
32,260819172021,4073,55.5412198196656
33,260819172436,4073,55.5412198196656
34,260819172851,4073,55.5412198196656
35,260819173306,4073,55.5412198196656
36,260819173721,4073,55.5412198196656
37,260819174136,4073,55.5412198196656
38,260819174551,4074,55.55519452043793
39,260819175007,4074,55.55519452043793
40,260819175422,4074,55.55519452043793
41,260819175837,4074,55.55519452043793
42,260819180252,4074,55.55519452043793
43,260819180707,4074,55.55519452043793
44,260819181122,4074,55.55519452043793
45,260819181537,4074,55.55519452043793
46,260819181952,4074,55.55519452043793
47,260819182407,4062,55.38749811116993
48,260819182822,4037,55.038130591861595
49,260819183237,4009,54.64683897023626
50,260819183652,4007,54.6188895686916
51,260819184107,3998,54.49311726174059
52,260819184522,3984,54.29747145092793
53,260819184937,3984,54.29747145092793
54,260819185352,3969,54.08785093934293
55,260819185807,3948,53.794382223123925
56,260819190222,3916,53.34719179840926
57,260819190637,3887,52.9419254760116
58,260819191052,3889,52.96987487755626
59,260819191507,3861,52.57858325593092
60,260819191922,3830,52.14536753198859
61,260819192337,3799,51.71215180804626
62,260819192752,3790,51.58637950109526
63,260819193207,3780,51.44663249337192
64,260819193622,3779,51.43265779259959
65,260819194037,3777,51.404708391054925
66,260819194452,3777,51.404708391054925
67,260819194907,3777,51.404708391054925
68,260819195322,3776,51.39073369028259
69,260819195737,3776,51.39073369028259
70,260819200152,3776,51.39073369028259
71,260819200607,3775,51.37675898951026
72,260819201022,3775,51.37675898951026
73,260819201437,3774,51.36278428873792
74,260819201852,3778,51.418683091827255
75,260819202307,3778,51.418683091827255
76,260819202722,3778,51.418683091827255
77,260819203137,3778,51.418683091827255
78,260819203553,3778,51.418683091827255
79,260819204008,3778,51.418683091827255
80,260819204423,3778,51.418683091827255
81,260819204838,3778,51.418683091827255
82,260819205253,3778,51.418683091827255
83,260819205708,3767,51.26496138333159
84,260819210123,3764,51.223037281014584
85,260819210538,3763,51.209062580242254
86,260819210953,3758,51.13918907638059
87,260819211408,3758,51.13918907638059
88,260819211823,3755,51.097264974063584
89,260819212238,3753,51.069315572518924
90,260819212653,3753,51.069315572518924
91,260819213108,3753,51.069315572518924
92,260819213523,3748,50.99944206865725
93,260819213938,3748,50.99944206865725
94,260819214353,3748,50.99944206865725
95,260819214808,3745,50.957517966340255
96,260819215223,3744,50.94354326556792
97,260819215638,3743,50.92956856479559
98,260819220053,3743,50.92956856479559
99,260819220508,3744,50.94354326556792
100,260819220923,3744,50.94354326556792
101,260819221338,3742,50.91559386402326
102,260819221753,3742,50.91559386402326
103,260819222208,3741,50.90161916325092
104,260819222623,3740,50.88764446247858
105,260819223038,3740,50.88764446247858
106,260819223453,3739,50.87366976170625
107,260819223908,3734,50.80379625784459
108,260819224323,3724,50.66404925012125
109,260819224738,3725,50.67802395089359
110,260819225153,3725,50.67802395089359
111,260819225608,3725,50.67802395089359
112,260819230023,3726,50.69199865166592
113,260819230438,3726,50.69199865166592
114,260819230853,3727,50.70597335243825
115,260819231308,3723,50.65007454934892
