,Message_Type,count,ACTION
1,GTSTT,1253,Keep
2,GTTOW,548,Keep
3,GTPDP,408,Keep
7,GTPFA,6,Keep
9,GTPNA,6,Keep
13,GTMPF,2,Keep
14,GTMPN,2,Keep
15,TRTO,2,Keep
16,GTBTC,1,Keep
17,GTSTC,1,Keep
