,fuel_data,date,raw_data
253,11,260526092735,40
254,11,260526093234,40
255,11,260526093735,40
256,11,260526094235,40
257,11,260526094735,40
258,11,260526095235,40
259,11,260526095735,40
260,11,260526100235,40
261,11,260526100735,40
262,11,260526101234,40
263,11,260526101735,40
264,11,260526102235,40
265,11,260526102735,40
266,11,260526103235,40
267,11,260526103734,40
268,11,260526104235,40
269,11,260526104734,40
270,11,260526105235,40
271,11,260526105735,40
272,11,260526110235,40
273,11,260526110734,40
274,11,260526111235,40
275,11,260526111735,40
276,11,260526111850,71
277,11,260526111909,75
278,11,260526111921,77
279,9,260526111956,83
280,11,260526112028,88
281,11,260526112054,93
282,11,260526112105,95
283,11,260526112120,97
284,3,260526112125,98
285,3,260526112134,99
286,3,260526112139,100
287,3,260526112206,103
288,9,260526112233,103
289,9,260526112300,105
290,9,260526112327,106
291,9,260526112354,107
292,9,260526112421,108
293,9,260526112448,109
294,9,260526112515,110
295,9,260526112542,112
296,9,260526112609,113
297,9,260526112637,115
298,9,260526112641,115
299,9,260526112708,119
300,12,260526112730,122
301,12,260526112745,124
302,12,260526112750,124
303,12,260526112804,127
304,10,260526112831,127
305,10,260526112858,127
306,8,260526112925,127
307,8,260526112952,127
308,8,260526113019,128
309,10,260526113046,128
310,10,260526113113,127
311,11,260526113140,127
312,11,260526113204,127
313,11,260526113227,127
314,11,260526113254,128
315,11,260526113320,127
316,9,260526113347,128
317,9,260526113414,127
318,10,260526113439,127
319,10,260526113500,127
320,11,260526113530,127
321,11,260526113555,127
322,11,260526113620,127
323,9,260526113645,128
324,9,260526113710,127
325,8,260526113735,127
326,8,260526113800,128
327,8,260526113805,128
328,10,260526113828,128
329,10,260526113833,128
330,10,260526113900,127
331,10,260526114505,40
332,10,260526115005,40
333,10,260526115505,40
334,10,260526120002,119
335,10,260526120028,121
336,10,260526120052,123
337,10,260526120117,124
338,10,260526120142,127
339,10,260526120207,128
340,10,260526120219,129
341,9,260526120237,127
342,9,260526120322,128
343,11,260526120347,128
344,11,260526120412,128
345,11,260526120437,128
346,11,260526120501,128
