,Created,Message,Status,Codes
15,2026-09-13 00:13:39.539,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":937,""Mileage"":135148,""Date"":""2026-09-13T00:14:25Z"",""IopIgnition"":false,""Latitude"":4.1515293121337891,""Longitude"":-76.178436279296875,""Altitude"":976.0,""ExternalPowerVoltage"":25.91,""Rpm"":0,""Speed"":0.0,""SatelliteNumber"":16,""Azimuth"":22,""BatteryLevel"":100,""AirInflowTemp"":0,""AirInput"":0,""AirPressure"":0,""CoolingFluidTemp"":0,""EngineLoad"":0,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":60865,""ThrottlePosition"":-999}]",0x262602005303A90867284063983169001902581E00000037500000050000000000000000020FEC00260913001425000074445C5B98C254D9844000000016259100000000EDC10000000000000000282800FFFF,02
19,2026-09-13 00:22:24.644,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":938,""Mileage"":135259,""Date"":""2026-09-13T00:22:21Z"",""IopIgnition"":true,""Latitude"":4.154472827911377,""Longitude"":-76.177810668945313,""Altitude"":977.0999755859375,""ExternalPowerVoltage"":28.45,""Rpm"":2054,""Speed"":58.0,""SatelliteNumber"":17,""Azimuth"":22,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":52,""AirPressure"":-999,""CoolingFluidTemp"":75,""EngineLoad"":89,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":60890,""ThrottlePosition"":-999}]",0x262602005303AA0867284063983169001902581E0000003051000005000000400000000002105B00260913002221664674440A5B98C271F1844005500016284505800000EDDA0000446C080634FF734659FFFF,02
20,2026-09-13 00:22:50.183,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":939,""Mileage"":135641,""Date"":""2026-09-13T00:22:46Z"",""IopIgnition"":true,""Latitude"":4.157679557800293,""Longitude"":-76.1761474609375,""Altitude"":977.20001220703125,""ExternalPowerVoltage"":28.42,""Rpm"":1462,""Speed"":54.0,""SatelliteNumber"":17,""Azimuth"":29,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":28,""AirPressure"":89,""CoolingFluidTemp"":77,""EngineLoad"":0,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":60974,""ThrottlePosition"":29}]",0x262602005303AB0867284063983169001902581E000000305100000500000040000000000211D900260913002246CD4C7444305A98C2B60B85400480001D284205400000EE2E0000258E05B61C597546001DFF,02
21,2026-09-13 00:22:57.582,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":940,""Mileage"":135733,""Date"":""2026-09-13T00:22:54Z"",""IopIgnition"":true,""Latitude"":4.1584830284118652,""Longitude"":-76.175872802734375,""Altitude"":977.0,""ExternalPowerVoltage"":28.43,""Rpm"":1372,""Speed"":52.0,""SatelliteNumber"":16,""Azimuth"":359,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":34,""AirPressure"":91,""CoolingFluidTemp"":77,""EngineLoad"":0,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":60995,""ThrottlePosition"":29}]",0x262602005303AC0867284063983169001902581E0000003350000005000000400000000002123500260913002254004074440C5A98C24B12854004400167284305200000EE4300002D69055C225B7546001DFF,02
22,2026-09-13 00:23:02.602,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":941,""Mileage"":135830,""Date"":""2026-09-13T00:22:59Z"",""IopIgnition"":true,""Latitude"":4.158902645111084,""Longitude"":-76.175971984863281,""Altitude"":975.70001220703125,""ExternalPowerVoltage"":28.39,""Rpm"":680,""Speed"":26.0,""SatelliteNumber"":16,""Azimuth"":312,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":16,""AirPressure"":88,""CoolingFluidTemp"":77,""EngineLoad"":0,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61019,""ThrottlePosition"":-999}]",0x262602005303AD0867284063983169001902581E0000003350000005000000400000000002129600260913002259CDEC7344195A98C2BB15854002300138283902600000EE5B0000159B02A81058754600FFFF,02
23,2026-09-13 00:23:05.485,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":942,""Mileage"":135847,""Date"":""2026-09-13T00:23:02Z"",""IopIgnition"":true,""Latitude"":4.1589155197143555,""Longitude"":-76.1761245727539,""Altitude"":975.20001220703125,""ExternalPowerVoltage"":28.38,""Rpm"":1050,""Speed"":22.0,""SatelliteNumber"":17,""Azimuth"":239,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":28,""AirPressure"":89,""CoolingFluidTemp"":77,""EngineLoad"":0,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61025,""ThrottlePosition"":-999}]",0x262602005303AE0867284063983169001902581E000000375100000500000040000000000212A700260913002302CDCC73442D5A98C2D6158540020000EF283802200000EE610000258E041A1C59754600FFFF,02
24,2026-09-13 00:23:07.824,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":943,""Mileage"":135868,""Date"":""2026-09-13T00:23:04Z"",""IopIgnition"":true,""Latitude"":4.1587719917297363,""Longitude"":-76.176223754882813,""Altitude"":976.20001220703125,""ExternalPowerVoltage"":28.38,""Rpm"":1272,""Speed"":28.0,""SatelliteNumber"":16,""Azimuth"":198,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":29,""AirPressure"":93,""CoolingFluidTemp"":78,""EngineLoad"":90,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61032,""ThrottlePosition"":-999}]",0x262602005303AF0867284063983169001902581E000000375000000500000040000000000212BC00260913002304CD0C74443A5A98C2A9148540026000C6283802800000EE680000268904F81D5D76465AFFFF,02
25,2026-09-13 00:23:11.503,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":944,""Mileage"":135905,""Date"":""2026-09-13T00:23:08Z"",""IopIgnition"":true,""Latitude"":4.1585526466369629,""Longitude"":-76.176284790039063,""Altitude"":976.20001220703125,""ExternalPowerVoltage"":28.43,""Rpm"":1485,""Speed"":36.0,""SatelliteNumber"":15,""Azimuth"":197,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":51,""AirPressure"":103,""CoolingFluidTemp"":78,""EngineLoad"":90,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61053,""ThrottlePosition"":-999}]",0x262602005303B00867284063983169001902581E000000374F00000500000040000000000212E100260913002308CD0C7444425A98C2DD128540033000C5284303600000EE7D000042F105CD336776465AFFFF,02
26,2026-09-13 00:23:37.646,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":945,""Mileage"":136285,""Date"":""2026-09-13T00:23:34Z"",""IopIgnition"":true,""Latitude"":4.155362606048584,""Longitude"":-76.177520751953125,""Altitude"":979.4000244140625,""ExternalPowerVoltage"":28.5,""Rpm"":1668,""Speed"":64.0,""SatelliteNumber"":17,""Azimuth"":204,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":65,""AirPressure"":116,""CoolingFluidTemp"":79,""EngineLoad"":65,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61203,""ThrottlePosition"":-999}]",0x262602005303B10867284063983169001902581E0000004451000005000000400000000002145D002609130023349AD97444E45A98C2BBF88440060000CC285006400000EF130000554606844174774641FFFF,02
27,2026-09-13 00:24:04.042,"[{""Protocol"":""0x2626"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":2,""Imei"":""867284063983169"",""SerialNo"":946,""Mileage"":136784,""Date"":""2026-09-13T00:24:00Z"",""IopIgnition"":true,""Latitude"":4.151212215423584,""Longitude"":-76.17889404296875,""Altitude"":979.29998779296875,""ExternalPowerVoltage"":28.5,""Rpm"":1762,""Speed"":67.0,""SatelliteNumber"":17,""Azimuth"":191,""BatteryLevel"":100,""AirInflowTemp"":30,""AirInput"":56,""AirPressure"":93,""CoolingFluidTemp"":80,""EngineLoad"":3,""RemainFuelRate"":-999,""AccumulatingFuelConsumption"":61344,""ThrottlePosition"":-999}]",0x262602005303B20867284063983169001902581E0000003E5100000500000040000000000216500026091300240033D37444985B98C2BBD68440063000BF285006700000EFA00000495506E2385D784603FFFF,02
