,sample_number,date,temp,status
36,36,260913003010,85,0x262602005303C10867284063983169001902581E000000255000000500000040000000000229470026091300301000C07444D65998C2F8958340000000C4282700000000F6390000177A023F115B7D460FFFFF
37,37,260913003036,84,0x262602005303C20867284063983169001902581E000000225100000500000040000000000229470026091300303600C07444D65998C2F8958340000000C4282900000000F65A000014B4023E0F597C460EFFFF
38,38,260913003103,84,0x262602005303C30867284063983169001902581E000000255000000500000040000000000229470026091300310300C07444D65998C2F8958340000000C4282900000000F68100000FF3023C0C5B7C460EFFFF
39,39,260913003129,84,0x262602005303C40867284063983169001902581E0000001B5100000500000040000000000229470026091300312900C07444D65998C2F8958340000000C4283500000000F6AA000012D1023D0E5A7C460EFFFF
40,40,260913003156,84,0x262602005303C50867284063983169001902581E000000185100000500000040000000000229470026091300315600C07444D65998C2F8958340000000C4283000000000F6CF000017CE023F12597C460EFFFF
41,41,260913003222,83,0x262602005303C60867284063983169001902581E0000001B51000005000000400000000002294B0026091300322200C07444D65998C2F8958340000000C4283300000000F70900003C50064B2E577B4600FFFF
42,42,260913003247,83,0x262602005303C70867284063983169001902581E0000001151000005000000400000000002294B0026091300324700C07444D65998C2F8958340000000C4283800000000F7700000351D064028567B4510FFFF
43,43,260913003312,82,0x262602005303C80867284063983169001902581E0000002551000005000000400000000002294B0026091300331200C07444D65998C2F8958340000000C4284000000000F7D000003B2906402D567A4410FFFF
44,44,260913003337,82,0x262602005303C90867284063983169001902581E0000003051000005000000400000000002294B0026091300333700C07444D65998C2F8958340000000C4283700000000F835000041F5063F32587A4510FFFF
45,45,260913003402,82,0x262602005303CA0867284063983169001902581E0000002C50000005000000400000000002294B0026091300340200C07444D65998C2F8958340000000C4284400000000F89D00003680063029567A4515FFFF
46,46,260913003427,82,0x262602005303CB0867284063983169001902581E0000003050000005000000400000000002294B0026091300342700C07444D65998C2F8958340000000C4284100000000F8FF00003A8206402C597A450FFFFF
47,47,260913003452,82,0x262602005303CC0867284063983169001902581E0000002C4F000005000000400000000002294B0026091300345200C07444D65998C2F8958340000000C4283800000000F97700003A8206252C587A4510FFFF
48,48,260913003517,81,0x262602005303CD0867284063983169001902581E0000002C51000005000000400000000002294B0026091300351700C07444D65998C2F8958340000000C4284000000000F9DB0000386306402B5B794616FFFF
49,49,260913003542,82,0x262602005303CE0867284063983169001902581E0000002C50000005000000400000000002294B0026091300354200C07444D65998C2F8958340000000C4284200000000FA4800003640063F29577A4517FFFF
50,50,260913003607,82,0x262602005303CF0867284063983169001902581E0000002C50000005000000400000000002294B0026091300360700C07444D65998C2F8958340000000C4284200000000FAA200003B95063E285A7A4610FFFF
51,51,260913003632,82,0x262602005303D00867284063983169001902581E0000003051000005000000400000000002294B0026091300363200C07444D65998C2F8958340000000C4284200000000FB0F0000382306402A567A4610FFFF
52,52,260913003657,81,0x262602005303D10867284063983169001902581E0000003050000005000000400000000002294B0026091300365700C07444D65998C2F8958340000000C4284100000000FB740000368006402959794610FFFF
53,53,260913003722,81,0x262602005303D20867284063983169001902581E0000003050000005000000400000000002294B0026091300372200C07444D65998C2F8958340000000C4284100000000FBDF00003F6B063F3058794610FFFF
54,54,260913003747,81,0x262602005303D30867284063983169001902581E0000003050000005000000400000000002294B0026091300374700C07444D65998C2F8958340000000C4284300000000FC4400003AED06403256794610FFFF
55,55,260913003812,81,0x262602005303D40867284063983169001902581E0000002C51000005000000400000000002294B0026091300381200C07444D65998C2F8958340000000C4284400000000FCB700003DB406402F5B794616FFFF
56,56,260913003836,81,0x262602005303D50867284063983169001902581E0000003050000005000000400000000002294B0026091300383600C07444D65998C2F8958340000000C4283900000000FD1500003986062F285A794611FFFF
57,57,260913003902,82,0x262602005303D60867284063983169001902581E0000003050000005000000400000000002294B0026091300390200C07444D65998C2F8958340000000C4284200000000FD8B000036E80640295A7A4610FFFF
58,58,260913003927,82,0x262602005303D70867284063983169001902581E0000003350000005000000400000000002294B0026091300392700C07444D65998C2F8958340000000C4283800000000FDF000003D0C063F2E567A4510FFFF
