Message_Type,count
GTFRI,24128
GTSTT,3290
GTPDP,500
GTIGL,478
GTIGF,243
GTIGN,237
GTBTC,47
GTSTC,42
GTHBM,41
GTMPF,37
GTMPN,34
GTTOW,15
GTRTL,13
GTPNA,13
GTPFA,12
GTDOG,10
GTSPD,6
GTIDN,4
GTIDF,4
GTBPL,2
