,sample_number,odometer,date,status,date str
827,876,86448842,260526202632,0x26260200530B6908672840627094900019012C1E000000644A0000050000000000000205271ACA002605262026329A396F445F0D99C22EC05D40000000DE1277000000003FE7000000000000FF002828000088,260526202632
2848,2897,86539205,260529122026,0x2626020053133B08672840627094900019012C1E000000594F0000050100000000000205287BC50026052912202666C6744465F898C282405E40000000E21268000000006D9B000000000000FF00282800009F,260529122026
5024,5073,86652541,260531202621,0x26260200531B7C08672840627094900019012C1E000000645000000500000000000002052A367D002605312026219A79724464F898C21E415E4000000153128500000000A637000000000000FF002828000092,260531202621
7203,7252,86765322,260604012026,0x262602005323CF08672840627094900019012C1E000000594C00000500000040000002052BEF0A002606040120263353744432F898C2C4695E400000014D143100300000D9BF0000053D025FFF2B80551D119A,260604012026
8619,8668,86822043,260606012026,0x2626020053295A08672840627094900019012C1E000000595000000500000040000002052CCC9B00260606012026662673445FF898C28A405E4001100155143400900000FA21000006370649FF1B7F57241293,260606012026
8963,9012,86827239,260606202623,0x26260200532A9D08672840627094900019012C1E0000005D5000000500000000000002052CE0E7002606062026233353724479F898C299405E40000000FA127300000000FDAE000000000000FF002828000093,260606202623
10118,10167,86864000,260608202612,0x26260200532EFD08672840627094900019012C1E000000564F00000500000040000002052D70800026060820261233D37144DBF698C22C0C5E40000000A114330000000111AB000003D902B6FF2780591F118F,260608202612
10119,10168,86864000,260608202637,0x26260200532EFE08672840627094900019012C1E000000564F00000500000040000002052D70800026060820263733D37144DBF698C22C0C5E40000000A114230000000111B20000045102C1FF29805920118F,260608202637
11024,11073,86905500,260609202608,0x2626020053327D08672840627094900019012C1E000000594900000500000000000002052E129C0026060920260800007444790D99C21EBC5D40000000291282000000012925000000000000FF00282800008A,260609202608
13356,13405,87008888,260612192026,0x26260200533B6708672840627094900019012C1E000000564800000500000000000002052FA678002606121920269AF91144B60C99C2D2EA5D40000000211271000000015D94000000000000FF0028280000FF,260612192026
14861,14910,87039124,260615222026,0x2626020053414208672840627094900019012C1E000000644E0000050000004000000205301C940026061522202600A073442CFE98C2CB215F400440011F14500440000172E3000005D5064BFF197F55271188,260615222026
