,Date,raw_data,Input
26,260518164035,0x252514005900410869487063264120003C38402D0000002C4E00000000000020000000FFFFFFFFFFFFFFFFFFFF69D5000321175426051816403500001B4309458FC2046898400000000003771219FFFFFF0000230000FFFFFF,1
27,260518164035,0x252514005900410869487063264120003C38402D0000002C4E00000000000020000000FFFFFFFFFFFFFFFFFFFF69D5000321175426051816403500001B4309458FC2046898400000000003771219FFFFFF0000230000FFFFFF,1
28,260518191048,0x252514005900430869487063264120003C38402D000000224F00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500038AFF672605181910489A191B43F58B8FC252C39840000000BE03811252FFFFFF00001C0000FFFFFF,1
29,260518191048,0x252514005900430869487063264120003C38402D000000224F00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500038AFF672605181910489A191B43F58B8FC252C39840000000BE03811252FFFFFF00001C0000FFFFFF,1
30,260518213516,0x2525140059004D0869487063264120003C38402D0000004B4F00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500044FDC522605182135169A9922436F2E90C26C8095400000014403761417FFFFFF00001F0000FFFFFF,1
31,260519071205,0x252514005900530869487063264120003C38402D000000254E00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500053E891026051907120500802F43B4448FC2766598400000007403491406FFFFFF00001E0000FFFFFF,1
32,260519071223,0x252514005900550869487063264120003C38402D000000224D00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500053E891026051907122300802F43B4448FC2766598400000007403491284FFFFFF00001E0000FFFFFF,1
33,260519111258,0x252513005902FB0869487063264120003C38402D0000002C4E00000007000020000000FFFFFFFFFFFFFFFFFFFF00D500053E895226051911125800802F43B4448FC2766598400000007403761243FFFFFF00001F0000FFFFFF,1
34,260519153714,0x252514005900570869487063264120003C38402D00000064CE00000007000020000000FFFFFFFFFFFFFFFFFFFF17C00005DD2D5726051915371433B316434DB58FC25D8B96400000013003781414FFFFFF00001E0000FFFFFF,1
35,260519210641,0x252514005900610869487063264120003C38402D0000001F5000000007000020000000FFFFFFFFFFFFFFFFFFFF17D50006E4028426051921064133B31B436DB58FC2E98C96400000005503851415FFFFFF0000210000FFFFFF,1
36,260519214908,0x252514005900630869487063264120003C38402D000000225000000007000020000000FFFFFFFFFFFFFFFFFFFF69D50006E4025626051921490833B31B436DB58FC2E98C96400000005503781235FFFFFF0000250000FFFFFF,1
37,260520005717,0x252514005900690869487063264120003C38402D000000604F00000007000020000000FFFFFFFFFFFFFFFFFFFF17D500077B9C1026052000571700801443365F8FC20F1A9840000000C603651364FFFFFF00001F0000FFFFFF,1
38,260520043414,0x2525140059006F0869487063264120003C38402D00000064CF00000007000020000000FFFFFFFFFFFFFFFFFFFF17D50007A4B7102605200434149A191943565E8FC2040E98400000003403341400FFFFFF000020FFFFFFFFFF,1
39,260520124518,0x252514005900730869487063264120003C38402D000000335000000000000020000000FFFFFFFFFFFFFFFFFFFF69D50007B7581026052012451833331643194F8FC238AD97400240003E03121196FFFFFF00001DFFFFFFFFFF,1
40,260520141844,0x252514005900750869487063264120003C38402D000000415000000007000020000000FFFFFFFFFFFFFFFFFFFF17D500083672352605201418449A991143525F8FC2231B98400000000303721398FFFFFF0000220000FFFFFF,1
41,260521091751,0x252514005900830869487063264120003C38402D000000290000000007000020000000FFFFFFFFFFFFFFFFFFFF17D500097BBB1026052109175182DC0065001250995214017F018E006503231375FFFFFF00001DFFFFFFFFFF,1
42,260521111638,0x252514005900870869487063264120003C38402D000000295000000007000020000000FFFFFFFFFFFFFFFFFFFF69D5000A15361026052111163800001643FA448FC2A2649840000000E503631365FFFFFF00001F0000FFFFFF,1
43,260521111705,0x252514005900890869487063264120003C38402D0000002C4F00000007000020000000FFFFFFFFFFFFFFFFFFFF17D5000A15361026052111170500001643FA448FC2A2649840000000E503641261FFFFFF0000220000FFFFFF,1
44,260521122048,0x2525140059008B0869487063264120003C38402D0000003A5200000007000020000000FFFFFFFFFFFFFFFFFFFF17D5000A2F945026052112204800800F4329448FC25C5198400000013B03761383FFFFFF00001E0000FFFFFF,1
