,sample_number,odometer,date,status
0,0,134621,260913000015,0x2626020053039F0867284063983169001902581E00000029500000050000004000000000020DDD0026091300001566067244E65B98C225B7844000000026283400000000EBBF0000101E023E0C58764610FFFF
1,1,134652,260913000040,0x262602005303A00867284063983169001902581E00000030520000050000004000000000020DFC002609130000409AF97244D15B98C2FAB884400110000B284601200000EBF200003E6F05EE3159764632FFFF
2,2,134734,260913000105,0x262602005303A10867284063983169001902581E00000025510000050000004000000000020E4E00260913000105CD8C7244C65B98C2F6BE84400140015D284201400000EC3F0000273103AB1D5B764601FFFF
3,3,134909,260913000130,0x262602005303A20867284063983169001902581E00000030510000050000004000000000020EFD00260913000130CD2C7344A25B98C230CB84400260000D284602700000ECAB000040D206EA3159754515FFFF
4,4,135067,260913000150,0x262602005303A30867284063983169001902581E0000002C510000050000004000000000020F9B0026091300015033937344755B98C22CD684400200002C282702300000ED020000162B022F0F5975450EFFFF
5,5,135102,260913000157,0x262602005303A40867284063983169001902581E00000030500000050000004000000000020FBE00260913000157CDCC7344615B98C207D884400140000C284601500000ED120000258E03D01C5B754528FFFF
6,6,135148,260913000245,0x262602005303A50867284063983169001902581E00000041500000050000004000000000020FEC00260913000245000074445C5B98C254D9844000000016283300000000ED5800000FF3023C0C5A76460FFFFF
7,7,135148,260913000309,0x262602005303A60867284063983169001902581E00000041500000050000004000000000020FEC00260913000309000074445C5B98C254D9844000000016283600000000ED79000013F802400F5A76460FFFFF
8,8,135148,260913000335,0x262602005303A70867284063983169001902581E0000003E4F0000050000004000000000020FEC00260913000335000074445C5B98C254D9844000000016284500000000ED9D000012FC023F0F5A76460EFFFF
9,9,135148,260913000359,0x262602005303A80867284063983169001902581E0000003A4F0000050000004000000000020FEC00260913000359000074445C5B98C254D9844000000016284400000000EDBE000011C102410D5976460EFFFF
10,10,135148,260913000418,0x2626040053001C0867284063983169001902581E0000003ACF0000050000000000160000020FEC00260913000418000074445C5B98C254D9844000000016267900000000EDC10000000000000000282800FFFF
11,11,135148,260913001425,0x262602005303A90867284063983169001902581E00000037500000050000000000000000020FEC00260913001425000074445C5B98C254D9844000000016259100000000EDC10000000000000000282800FFFF
12,12,135148,260913002155,0x2626040053001D0867284063983169001902581E00000044500000050000004000150000020FEC00260913002155000074445C5B98C254D9844000000016281900000000EDC10000000000000000282800FFFF
13,13,135259,260913002221,0x262602005303AA0867284063983169001902581E0000003051000005000000400000000002105B00260913002221664674440A5B98C271F1844005500016284505800000EDDA0000446C080634FF734659FFFF
14,14,135641,260913002246,0x262602005303AB0867284063983169001902581E000000305100000500000040000000000211D900260913002246CD4C7444305A98C2B60B85400480001D284205400000EE2E0000258E05B61C597546001DFF
15,15,135733,260913002254,0x262602005303AC0867284063983169001902581E0000003350000005000000400000000002123500260913002254004074440C5A98C24B12854004400167284305200000EE4300002D69055C225B7546001DFF
16,16,135830,260913002259,0x262602005303AD0867284063983169001902581E0000003350000005000000400000000002129600260913002259CDEC7344195A98C2BB15854002300138283902600000EE5B0000159B02A81058754600FFFF
17,17,135847,260913002302,0x262602005303AE0867284063983169001902581E000000375100000500000040000000000212A700260913002302CDCC73442D5A98C2D6158540020000EF283802200000EE610000258E041A1C59754600FFFF
18,18,135868,260913002304,0x262602005303AF0867284063983169001902581E000000375000000500000040000000000212BC00260913002304CD0C74443A5A98C2A9148540026000C6283802800000EE680000268904F81D5D76465AFFFF
19,19,135905,260913002308,0x262602005303B00867284063983169001902581E000000374F00000500000040000000000212E100260913002308CD0C7444425A98C2DD128540033000C5284303600000EE7D000042F105CD336776465AFFFF
