Message_Type,count
GTFRI,5234
GTSTT,1287
GTPDP,520
GTIGL,366
GTIGF,185
GTIGN,184
GTSPD,126
GTIDN,20
GTIDF,20
GTHBM,10
GTPNA,4
GTRTL,4
GTDOG,3
GTPFA,3
