,Id,Label,Status,Reference,Manufacturer,Model,Group,Serial,IMEI,Paired Unit,GPS Unit ESN,Camera ESN,SIM #,SIM Phone,Network,SIM Provider Account,SIM Provider,Unit Time,Server Time,Last Message Time,Age,Firmware,Hardware Version,Mode,Show In Web,Installed,Installed On,Diagnostic Score,Diagnostic Updated on,Health Score,Live Mode,Battery Level,VIN,Last Event,Tags,Billing Account,Address,Warning
0,200193945,BZB-796 VF,Active,26012026,VidFleet,4K,,6B301GPQ,16100000541318,,,,89011703278773166593,,,Latam,Claro CO,,,,,,SAXHORN_V1C,Camera as GPS,Y,Installed,2026/01/26 11:17:23,,,60.0,Streaming,,,,[],,,NaN
1,200193947,CDF-883 VF,Active,26012026,VidFleet,4K,,6B3013YL,16100000528166,,,,8951101632938732439F,,,Latam,Claro CO,2026/02/12 06:13:00,2026/02/12 06:23:28,2026/02/12 06:23:34,6 days ago,3.35.1287,SAXHORN_V1C,Camera as GPS,Y,Installed,2026/01/26 11:17:55,,,96.8,Streaming,,,Ignition Off,[],,"Interoceánica Sur, 04400, Peru",NaN
2,200193948,BZA-845 VF,Active,26012026,VidFleet,4K,,6B301GMQ,16100000505164,,,,8951101639836162098F,,,Latam,Claro CO,2026/01/26 15:57:01,2026/01/27 02:06:06,2026/01/27 02:06:18,22 days ago,3.18.1115,SAXHORN_V1C,Camera as GPS,Y,Installed,2026/01/26 11:18:13,,,94.4,Streaming,,,Drive,[],,"Vía Sin Nombre, 03260, Peru",NaN
3,200193949,BHT-750 VF,Active,26012026,VidFleet,4K,,6B301GNV,16100000490771,,,,8951101639836162163F,,,Latam,Claro CO,2026/02/17 13:39:37,2026/02/17 13:50:39,2026/02/17 13:50:46,a day ago,3.35.1287,SAXHORN_V1C,Camera as GPS,Y,Installed,2026/01/26 11:18:24,,,92.4,Streaming,,,Ignition Off,[],,"MC3F+RCH, Cerro Colorado 04017, Peru",NaN
4,200193950,BZB-722 VF,Active,26012026,VidFleet,4K,,6B301GMW,16100000524116,,,,89011703278773167039,,,Latam,Claro CO,,,,,,SAXHORN_V1C,Camera as GPS,Y,Installed,2026/01/26 11:18:36,,,60.0,Streaming,,,,[],,,NaN
