,value,date,raw data
0,1005,260711135552,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071113555200013E01071FED03D93E95
1,1005,260711135737,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071113573701013E01071FED03DA3EC0
2,1005,260711135922,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071113592201013E01071FED03D83E51
3,1004,260711152653,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115265301013E010722EC03C03E2C
4,1004,260711152838,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115283801013E010722EC03C23EBD
5,1004,260711153023,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115302301013E010722EC03C13EE8
6,1004,260711153208,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115320801013E010722EC03C23EBD
7,1004,260711153352,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115335201013E010722EC03C23EBD
8,1004,260711153537,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115353701013E010722EC03C43E17
9,1004,260711153722,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115372201013E010722EC03C13EE8
10,1004,260711153907,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115390701013E010722EC03C13EE8
11,1004,260711154052,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115405201013E010722EC03C03E2C
12,1003,260711154237,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115423701013E010722EB03BE3EC0
13,1003,260711154423,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115442301013E010722EB03BE3EC0
14,1003,260711154608,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115460801013E010722EB03BD3E95
15,1003,260711154753,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115475301013E010722EB03BE3EC0
16,1003,260711154938,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115493801013E010722EB03BC3E51
17,1003,260711155123,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115512301013E010722EB03BC3E51
18,1003,260711155308,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115530801013E010722EB03BC3E51
19,1003,260711155453,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115545301013E010722EB03BD3E95
20,1003,260711155638,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115563801013E010722EB03BA3EFB
21,1003,260711155822,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071115582201013E010722EB03B93EAE
22,1003,260711160007,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116000701013E010722EB03B93EAE
23,1003,260711160152,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116015201013E010722EB03BA3EFB
24,1003,260711160337,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116033701013E010722EB03B93EAE
25,1003,260711160522,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116052201013E010722EB03B93EAE
26,1003,260711160708,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116070801013E010722EB03BB3E3F
27,1003,260711160853,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116085301013E010722EB03BC3E51
28,1003,260711161038,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116103801013E010722EB03BC3E51
29,1003,260711161223,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116122301013E010722EB03BB3E3F
30,1003,260711161407,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116140701013E010722EB03BC3E51
31,1003,260711161552,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116155201013E010722EB03BA3EFB
32,1003,260711161737,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116173701013E010722EB03B93EAE
33,1003,260711161922,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116192201013E010722EB03BA3EFB
34,1003,260711162107,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116210701013E010722EB03B93EAE
35,1003,260711162252,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116225201013E010722EB03BA3EFB
36,1003,260711162437,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116243701013E010722EB03BB3E3F
37,1003,260711162622,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116262201013E010722EB03BD3E95
38,1003,260711162807,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116280701013E010722EB03BD3E95
39,1003,260711162951,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116295101013E010722EB03BE3EC0
40,1003,260711163136,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116313601013E010723EB03BD3E58
41,1004,260711163321,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116332101013E010723EC03C03EE1
42,1004,260711163506,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx26071116350601013E010723EC03C03EE1
