,Value fs01,Dates fs01
0,2129,2026-03-14 16:58:55.438
1,2133,2026-03-14 17:04:15.538
2,2122,2026-03-14 17:06:55.571
3,1821,2026-03-14 17:14:54.748
4,1822,2026-03-14 17:15:08.669
5,1824,2026-03-14 17:15:22.763
6,1826,2026-03-14 17:15:36.741
7,1828,2026-03-14 17:15:50.741
8,1829,2026-03-14 17:16:04.737
9,1831,2026-03-14 17:16:18.743
10,1833,2026-03-14 17:16:32.726
11,1835,2026-03-14 17:16:46.778
12,1837,2026-03-14 17:17:00.753
13,1839,2026-03-14 17:17:14.753
14,1840,2026-03-14 17:17:28.738
15,1841,2026-03-14 17:17:42.759
16,1842,2026-03-14 17:17:56.753
17,1843,2026-03-14 17:18:10.739
18,1845,2026-03-14 17:18:24.817
19,1848,2026-03-14 17:18:38.844
20,1849,2026-03-14 17:18:52.824
21,1850,2026-03-14 17:19:06.808
22,1851,2026-03-14 17:19:20.774
23,1852,2026-03-14 17:19:34.808
24,1853,2026-03-14 17:19:48.743
25,1854,2026-03-14 17:20:02.061
26,1855,2026-03-14 17:20:17.238
27,1856,2026-03-14 17:20:30.757
28,1857,2026-03-14 17:20:44.739
29,1858,2026-03-14 17:20:58.901
30,1858,2026-03-14 17:21:12.865
31,1859,2026-03-14 17:21:26.857
32,1860,2026-03-14 17:21:40.860
33,1861,2026-03-14 17:21:54.736
34,1862,2026-03-14 17:22:08.828
35,1863,2026-03-14 17:22:22.866
36,1864,2026-03-14 17:22:36.857
37,1865,2026-03-14 17:22:50.899
38,1866,2026-03-14 17:23:04.858
39,1867,2026-03-14 17:23:18.860
40,1868,2026-03-14 17:23:32.841
41,1869,2026-03-14 17:23:46.902
42,1869,2026-03-14 17:24:00.848
43,1870,2026-03-14 17:24:14.882
44,1871,2026-03-14 17:24:28.818
45,1872,2026-03-14 17:24:42.858
46,1873,2026-03-14 17:24:56.863
47,1874,2026-03-14 17:25:10.820
48,1874,2026-03-14 17:25:24.845
49,1875,2026-03-14 17:25:38.838
50,1876,2026-03-14 17:25:52.818
51,1876,2026-03-14 17:26:06.819
52,1877,2026-03-14 17:26:20.867
53,1878,2026-03-14 17:26:34.887
54,1880,2026-03-14 17:26:48.832
55,1881,2026-03-14 17:27:02.839
56,1881,2026-03-14 17:27:16.839
57,1877,2026-03-14 17:27:30.847
58,1833,2026-03-14 17:27:44.850
59,1789,2026-03-14 17:27:58.858
60,1746,2026-03-14 17:28:12.814
61,1705,2026-03-14 17:28:26.810
62,1666,2026-03-14 17:28:40.809
63,1627,2026-03-14 17:28:54.789
64,1590,2026-03-14 17:29:08.804
65,1552,2026-03-14 17:29:22.840
66,1513,2026-03-14 17:29:36.815
67,1475,2026-03-14 17:29:50.804
68,1435,2026-03-14 17:30:04.803
69,1414,2026-03-14 17:30:18.804
70,1416,2026-03-14 17:30:32.827
71,1419,2026-03-14 17:30:46.800
72,1421,2026-03-14 17:31:00.804
73,1423,2026-03-14 17:31:14.810
74,1425,2026-03-14 17:31:28.827
75,1430,2026-03-14 17:31:42.117
76,1432,2026-03-14 17:31:56.803
77,1443,2026-03-14 17:32:10.803
78,1449,2026-03-14 17:32:24.813
79,1452,2026-03-14 17:32:38.804
80,1441,2026-03-14 17:32:52.804
81,1439,2026-03-14 17:33:06.810
82,1440,2026-03-14 17:33:20.810
83,1441,2026-03-14 17:33:34.813
84,1444,2026-03-14 17:33:48.870
85,1446,2026-03-14 17:34:02.884
86,1449,2026-03-14 17:34:16.884
87,1451,2026-03-14 17:34:30.891
88,1454,2026-03-14 17:34:44.151
89,1457,2026-03-14 17:34:59.106
90,1461,2026-03-14 17:35:12.956
91,1464,2026-03-14 17:35:26.908
92,1467,2026-03-14 17:35:40.921
93,1469,2026-03-14 17:35:54.871
94,1472,2026-03-14 17:36:08.886
95,1475,2026-03-14 17:36:23.019
96,1477,2026-03-14 17:36:37.076
97,1479,2026-03-14 17:36:51.061
98,1481,2026-03-14 17:37:04.894
99,1482,2026-03-14 17:37:18.885
100,1484,2026-03-14 17:37:32.891
101,1478,2026-03-14 17:37:46.893
102,1439,2026-03-14 17:38:00.885
103,1399,2026-03-14 17:38:14.888
104,1359,2026-03-14 17:38:28.921
105,1318,2026-03-14 17:38:42.886
106,1277,2026-03-14 17:38:56.894
107,1236,2026-03-14 17:39:11.135
108,1194,2026-03-14 17:39:25.101
109,1152,2026-03-14 17:39:39.174
110,1109,2026-03-14 17:39:53.131
111,1067,2026-03-14 17:40:07.157
112,1023,2026-03-14 17:40:21.117
113,978,2026-03-14 17:40:35.084
114,933,2026-03-14 17:40:49.029
115,887,2026-03-14 17:41:03.062
116,841,2026-03-14 17:41:17.062
117,793,2026-03-14 17:41:31.075
118,745,2026-03-14 17:41:45.144
119,699,2026-03-14 17:41:59.106
120,651,2026-03-14 17:42:13.221
121,618,2026-03-14 17:42:27.088
122,634,2026-03-14 17:42:41.090
123,640,2026-03-14 17:42:55.036
124,642,2026-03-14 17:43:09.081
125,603,2026-03-14 17:43:23.155
126,561,2026-03-14 17:43:36.290
127,552,2026-03-14 17:43:51.086
128,558,2026-03-14 17:44:05.017
129,564,2026-03-14 17:44:19.147
130,570,2026-03-14 17:44:33.109
131,576,2026-03-14 17:44:47.041
132,583,2026-03-14 17:45:01.053
133,589,2026-03-14 17:45:15.051
134,596,2026-03-14 17:45:29.101
135,602,2026-03-14 17:45:43.110
136,608,2026-03-14 17:45:57.121
137,614,2026-03-14 17:46:11.093
138,619,2026-03-14 17:46:24.910
139,624,2026-03-14 17:46:38.887
140,626,2026-03-14 17:46:52.911
141,632,2026-03-14 17:47:06.907
142,637,2026-03-14 17:47:20.973
143,642,2026-03-14 17:47:34.972
144,648,2026-03-14 17:47:48.973
145,653,2026-03-14 17:48:02.990
146,658,2026-03-14 17:48:16.972
147,663,2026-03-14 17:48:30.212
148,668,2026-03-14 17:48:44.984
149,673,2026-03-14 17:48:58.976
150,678,2026-03-14 17:49:12.973
151,680,2026-03-14 17:49:26.967
152,638,2026-03-14 17:49:40.987
153,585,2026-03-14 17:49:54.972
154,531,2026-03-14 17:50:08.967
155,475,2026-03-14 17:50:22.973
156,434,2026-03-14 17:50:36.975
157,369,2026-03-14 17:50:50.972
158,301,2026-03-14 17:51:04.987
159,223,2026-03-14 17:51:18.989
160,157,2026-03-14 17:51:32.984
161,159,2026-03-14 17:51:46.974
162,154,2026-03-14 17:52:00.991
163,166,2026-03-14 17:52:14.984
164,178,2026-03-14 17:52:28.984
165,188,2026-03-14 17:52:42.989
166,199,2026-03-14 17:52:56.911
167,209,2026-03-14 17:53:11.138
168,219,2026-03-14 17:53:25.180
169,228,2026-03-14 17:53:39.193
170,237,2026-03-14 17:53:53.131
171,246,2026-03-14 17:54:07.068
172,255,2026-03-14 17:54:21.092
173,264,2026-03-14 17:54:35.100
174,272,2026-03-14 17:55:58.664
175,272,2026-03-14 17:55:59.011
176,272,2026-03-14 17:55:59.368
177,272,2026-03-14 17:55:59.714
178,272,2026-03-14 17:56:00.082
