,value,date,raw data
64,4095,260801015257,0x2525210020011C086948706017347226080101525701013E01071CFF0FFFFFA0
65,4095,260801015442,0x2525210020011D086948706017347226080101544201013E01071CFF0FFFFFA0
66,4095,260801015627,0x2525210020011E086948706017347226080101562701013E01071CFF0FFFFFA0
67,4095,260801015812,0x2525210020011F086948706017347226080101581201013E01071CFF0FFFFFA0
68,4095,260801015957,0x25252100200120086948706017347226080101595701013E01071CFF0FFFFFA0
69,4095,260801020142,0x25252100200121086948706017347226080102014201013E01071CFF0FFFFFA0
70,4095,260801020327,0x25252100200122086948706017347226080102032701013E01071CFF0FFFFFA0
71,4095,260801020512,0x25252100200123086948706017347226080102051201013E01071CFF0FFFFFA0
72,4095,260801020657,0x25252100200124086948706017347226080102065701013E01071CFF0FFFFFA0
73,4095,260801020842,0x25252100200125086948706017347226080102084201013E01071CFF0FFFFFA0
74,4095,260801021027,0x25252100200126086948706017347226080102102701013E01071CFF0FFFFFA0
75,4095,260801021212,0x25252100200127086948706017347226080102121201013E01071CFF0FFFFFA0
76,4095,260801021357,0x25252100200128086948706017347226080102135701013E01071CFF0FFFFFA0
77,4095,260801021542,0x25252100200129086948706017347226080102154201013E01071CFF0FFFFFA0
78,4095,260801021727,0x2525210020012A086948706017347226080102172701013E01071CFF0FFFFFA0
79,4095,260801021912,0x2525210020012B086948706017347226080102191201013E01071CFF0FFFFFA0
80,4095,260801022057,0x2525210020012C086948706017347226080102205701013E01071CFF0FFFFFA0
81,4095,260801022242,0x2525210020012D086948706017347226080102224201013E01071CFF0FFFFFA0
82,4095,260801022427,0x2525210020012E086948706017347226080102242701013E01071CFF0FFFFFA0
83,4095,260801022612,0x2525210020012F086948706017347226080102261201013E01071CFF0FFFFFA0
84,4095,260801022757,0x25252100200130086948706017347226080102275701013E01071CFF0FFFFFA0
85,4095,260801022942,0x25252100200131086948706017347226080102294201013E01071CFF0FFFFFA0
86,4095,260801023127,0x25252100200132086948706017347226080102312701013E01071CFF0FFFFFA0
87,4095,260801023312,0x25252100200133086948706017347226080102331201013E01071CFF0FFFFFA0
88,4095,260801023457,0x25252100200134086948706017347226080102345701013E01071CFF0FFFFFA0
89,4095,260801023642,0x25252100200135086948706017347226080102364201013E01071CFF0FFFFFA0
90,4095,260801023827,0x25252100200136086948706017347226080102382701013E01071CFF0FFFFFA0
91,4095,260801024012,0x25252100200137086948706017347226080102401201013E01071CFF0FFFFFA0
92,4095,260801024157,0x25252100200138086948706017347226080102415701013E01071CFF0FFFFFA0
93,4095,260801024343,0x25252100200139086948706017347226080102434301013E01071CFF0FFFFFA0
94,4095,260801024528,0x2525210020013A086948706017347226080102452801013E01071CFF0FFFFFA0
95,4095,260801024713,0x2525210020013B086948706017347226080102471301013E01071CFF0FFFFFA0
96,4095,260801024858,0x2525210020013C086948706017347226080102485801013E01071CFF0FFFFFA0
97,4095,260801025043,0x2525210020013D086948706017347226080102504301013E01071CFF0FFFFFA0
98,4095,260801025228,0x2525210020013E086948706017347226080102522801013E01071CFF0FFFFFA0
99,4095,260801025413,0x2525210020013F086948706017347226080102541301013E01071CFF0FFFFFA0
100,4095,260801025558,0x25252100200140086948706017347226080102555801013E01071CFF0FFFFFA0
101,4095,260801025743,0x25252100200141086948706017347226080102574301013E01071CFF0FFFFFA0
102,4095,260801025928,0x25252100200142086948706017347226080102592801013E01071BFF0FFFFFF1
103,4095,260801030113,0x25252100200143086948706017347226080103011301013E01071CFF0FFFFFA0
104,4095,260801030258,0x25252100200144086948706017347226080103025801013E01071CFF0FFFFFA0
105,4095,260801030443,0x25252100200145086948706017347226080103044301013E01071CFF0FFFFFA0
106,4095,260801030628,0x25252100200146086948706017347226080103062801013E01071CFF0FFFFFA0
107,4095,260801030813,0x25252100200147086948706017347226080103081301013E01071CFF0FFFFFA0
108,4095,260801030958,0x25252100200148086948706017347226080103095801013E01071CFF0FFFFFA0
109,4095,260801031143,0x25252100200149086948706017347226080103114301013E01071CFF0FFFFFA0
