GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BYW,A1 CHN0177 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,19JO,A1 LUL 144,89,"2.140,43",1D:15H:50M:47S,"39,85",12H:59M:41S,"12,99",2D:4H:50M:28S,"52,84","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1BIL,CHN0177,71,"254,24",7H:44M:17S,"7,74",2H:1M:43S,"2,03",9H:46M:0S,"9,77","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1BGJ,IBZ301,79,"518,53",13H:25M:12S,"13,42",4H:38M:55S,"4,65",18H:4M:7S,"18,07","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1BY0,IBZ301 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1CTQ,LQK053,74,"158,33",6H:36M:17S,"6,60",13H:20M:37S,"13,34",19H:56M:54S,"19,95","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1C04,LQK053 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1CU6,LQK054,84,"404,27",19H:27M:52S,"19,46",19H:30M:34S,"19,51",1D:14H:58M:26S,"38,97","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1BQO,LQK054 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
,1CM2,LUL144,92,"1.727,47",1D:15H:9M:39S,"39,16",13H:3M:14S,"13,05",2D:4H:12M:53S,"52,21","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48"
