GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23
,1BR4,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BRK,QJY339 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CY8,SMR198,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BPH,SMR198 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CRI,SMR391,68,"14,79",0H:29M:23S,"0,49",0H:15M:56S,"0,27",0H:45M:19S,"0,76","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BNO,SMR391 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CWW,SXY625,60,"71,08",3H:48M:12S,"3,80",1H:55M:14S,"1,92",5H:43M:26S,"5,72","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BXS,SXY625 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CSU,SXZ756,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BOK,SXZ756 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CPD,TDL795,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BX0,TDL795 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CN2,TDL796,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BXK,TDL796 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1CU3,TDL797,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1BXC,TDL797 VF,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1COV,WFL149,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"
,1A8E,WFL149 AIR2,0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","3.033,04",3D:8H:57M:49S,"80,96",1D:6H:19M:14S,"30,32",4D:15H:17M:3S,"111,28"

