"Unit","Time & Date (COT)","Driver","Address","Event","Idle Time (minutes)"
"TDL795","02/03/2026 05:26 AM","","Avda Troncal de Occidente # 18 - 76 Parque Industrial Santo Domingo, Mosquera, Cundinamarca, 250040","Idle","13.57"
"TDL795","02/03/2026 05:49 AM","","Avda Troncal de Occidente # 18 - 76 Parque Industrial Santo Domingo, Mosquera, Cundinamarca, 250040","Idle","59.48"
"TDL795","02/03/2026 07:05 AM","","2-210 Cl 24 E, Madrid, Cundinamarca, 250038","Idle","1.38"
"TDL795","02/03/2026 12:30 PM","","Cra. 9 Este, Soacha, Cundinamarca, 250054","Idle","3.07"
"TDL795","02/03/2026 13:40 PM","","3b29 Cra. 9, Soacha, Cundinamarca, 250051","Idle","2.92"
"TDL795","02/03/2026 16:29 PM","","# 70-25 Cra. 87c, Bogotá, D.C., Bogotá, D.C., 110721","Idle","10.02"
