,GroupName,UnitID,UnitName1,MaxSpeed,MilesDriven,TravelTimeSecs,Textbox3,IdleTimeSecs,Textbox6,IdleTimeSecs2,Textbox11,Textbox15,Textbox16,Textbox17,Textbox18,Textbox19,Textbox22,Textbox23,MilesDriven_in_Miles,MilesDriven_dec,ACTION
0,0.0,1BYW,A1 CHN0177 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
1,0.0,19JO,A1 LUL 144,89.0,"2140,43",1D:15H:50M:47S,"39,85",12H:59M:41S,"12,99",2D:4H:50M:28S,"52,84","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",1330.0011295299998,2140.43,Keep
2,0.0,1BIL,CHN0177,71.0,"254,24",7H:44M:17S,"7,74",2H:1M:43S,"2,03",9H:46M:0S,"9,77","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",157.97736304,254.24,Keep
4,0.0,1BY0,IBZ301 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
6,0.0,1C04,LQK053 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
8,0.0,1BQO,LQK054 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
10,0.0,1BW4,LUL144 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
11,0.0,1CWQ,LUM169,103.0,"1260,16",1D:4H:52M:38S,"28,88",12H:54M:46S,"12,91",1D:17H:47M:24S,"41,79","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",783.0268793600001,1260.16,Keep
12,0.0,1BN8,LUM169 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
13,0.0,1BP0,LUM169 AIR2.,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
15,0.0,1BQ8,NOY423 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
17,0.0,1A6X,NOY424 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
19,0.0,1A3E,QJX175 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
20,0.0,1BS0,QJX175 AIR2.,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
21,0.0,1CVU,QJY339,93.0,"1319,45",1D:10H:45M:0S,"34,75",10H:38M:31S,"10,64",1D:21H:23M:31S,"45,39","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",819.86796595,1319.45,Keep
22,0.0,1BR4,QJY339 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
23,0.0,1BRK,QJY339 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
25,0.0,1BPH,SMR198 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
27,0.0,1BNO,SMR391 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
29,0.0,1BXS,SXY625 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
31,0.0,1BOK,SXZ756 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
33,0.0,1BX0,TDL795 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
35,0.0,1BXK,TDL796 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
37,0.0,1BXC,TDL797 VF,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
39,0.0,1A8E,WFL149 AIR2,0.0,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00",0H:0M:0S,"0,00","14.034,90",15D:20H:12M:42S,"380,21",8D:13H:16M:18S,"205,27",24D:9H:29M:0S,"585,48",0.0,0.00,Keep
